month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2008-07	1.11	-82.64	
2008-08	1.01	-90.05	
2008-09	0.95	-91.82	
2008-10	0.87	-96.07	
2008-11	0.89	-87.05	
2008-12	0.86	-91.54	
2009-01	0.82	-94.46	
2009-02	0.89	-69.51	
2009-03	0.93	-42.17	
2009-04	0.96	-13.43	
2009-05	0.97	-0.2	
2009-06	1.14	32.06	
2009-07	1.27	53.69	
2009-08	1.17	49.87	
2009-09	1.1	35.51	
2009-10	1.13	39.06	
2009-11	1.18	58.42	
2009-12	1.17	61.45	
2010-01	1.17	64.11	
2010-02	1.15	39.88	
2010-03	1.17	43.52	
2010-04	1.17	50.42	
2010-05	1.13	0.76	
2010-06	1.04	-43.37	
2010-07	1.02	-65.87	
2010-08	1.01	-77.64	
2010-09	0.96	-86.94	
2010-10	1.02	-66.96	
2010-11	1.02	-58.24	
2010-12	0.98	-80.16	
2011-01	0.97	-87.1	
2011-02	0.98	-79.7	
2011-03	0.99	-64.52	
2011-04	1.02	-18.89	
2011-05	1.01	-11.82	
2011-06	0.99	-32.44	
2011-07	0.97	-54.89	
2011-08	0.94	-73.6	
2011-09	0.92	-84.78	
2011-10	0.94	-74.44	
2011-11	0.93	-72.52	
2011-12	0.91	-83.48	
2012-01	0.94	-62.32	
2012-02	0.96	-28.71	
2012-03	0.94	-19.24	
2012-04	0.96	-5.1	
2012-05	0.95	-0.28	
2012-06	0.94	-8.84	
2012-07	0.91	-53.25	
2012-08	0.92	-53.3	
2012-09	0.89	-71.74	
2012-10	0.91	-63.04	
2012-11	0.92	-43.83	
2012-12	0.94	-12.8	
2013-01	0.99	39.51	
2013-02	1.01	53.39	
2013-03	0.98	54.04	
2013-04	0.96	43.3	
2013-05	0.97	47.08	
2013-06	0.95	38.34	
2013-07	0.94	-0.82	
2013-08	0.94	-19.4	
2013-09	0.98	16.49	
2013-10	0.99	52.38	
2013-11	0.99	65.56	
2013-12	0.96	37.95	
2014-01	0.88	-39.46	
2014-02	0.9	-64.4	
2014-03	0.88	-76.74	
2014-04	0.92	-53.19	
2014-05	0.93	-36.12	
2014-06	0.97	21.65	
2014-07	0.99	46	
2014-08	1.02	60.12	
2014-09	1.03	67.99	
2014-10	1.02	57.29	
2014-11	1.13	88.21	
2014-12	1.36	96.62	
2015-01	1.74	98.04	
2015-02	1.56	84.76	
2015-03	1.59	84.37	
2015-04	1.78	95.79	
2015-05	1.72	85.18	
2015-06	1.82	88.48	
2015-07	1.98	91.81	
2015-08	1.66	53.96	
2015-09	1.55	17.5	
2015-10	1.54	2.78	
2015-11	1.6	1.62	
2015-12	1.62	-3.42	
2016-01	1.4	-44.6	
2016-02	1.27	-64.64	
2016-03	1.34	-69.14	
2016-04	1.34	-69.37	
2016-05	1.3	-83.84	
2016-06	1.32	-68.35	
2016-07	1.38	-40.6	
2016-08	1.43	-12.11	
2016-09	1.42	-0.49	
2016-10	1.42	7.26	
2016-11	1.43	18.14	
2016-12	1.46	41.76	
2017-01	1.46	47.17	
2017-02	1.52	66.27	
2017-03	1.52	71.78	
2017-04	1.5	60.81	
2017-05	1.51	61.43	
2017-06	1.53	76.66	
2017-07	1.62	91.67	
2017-08	1.78	97.28	
2017-09	1.82	92.94	
2017-10	1.8	85.19	
2017-11	1.71	65.38	
2017-12	1.71	52.04	
2018-01	1.87	75.85	
2018-02	1.94	87.26	
2018-03	1.8	67.41	
2018-04	1.68	19.69	
2018-05	1.68	-1.42	
2018-06	1.63	-27.32	
2018-07	1.61	-44.48	
2018-08	1.61	-56.29	
2018-09	1.64	-53.95	
2018-10	1.66	-33.18	
2018-11	1.66	-19.4	
2018-12	1.65	-22.68	
2019-01	1.63	-41.03	
2019-02	1.71	15.83	
2019-03	1.75	44.56	
2019-04	1.79	64.8	
