month	ct_avg_前复权价格	人均持股
2006-09	0.94	3177	
2006-12	1.12	4915	
2007-03	1.43	5893	
2007-06	2.83	12484	
2007-09	5.89	16395	
2007-12	4.83	12964	
2008-03	4.03	12107	
2008-06	4.89	24166	
2008-09	1.95	14262	
2008-12	1.68	8986	
2009-03	2.48	8647	
2009-06	4.85	7140	
2009-09	5.4	18834	
2009-12	7.03	22820	
2010-03	5.34	15524	
2010-06	4.56	15376	
2010-09	4.89	15822	
2010-12	7.37	30992	
2011-03	8.39	31323	
2011-06	8.22	40427	
2011-09	8.19	26877	
2011-12	5.97	23032	
2012-03	7.42	24388	
2012-06	6.48	23780	
2012-09	4.94	22348	
2012-12	5.42	24738	
2013-03	5.32	21389	
2013-06	4.02	19703	
2013-09	3.84	19575	
2013-12	3.28	19744	
2014-03	2.28	19223	
2014-06	2.22	19680	
2014-09	2.61	19716	
2014-12	3.32	21394	
2015-03	3.26	20765	
2015-06	4.21	24318	
2015-09	2.4	27221	
2015-12	2.43	29696	
2016-03	2.83	30108	
2016-06	2.4	32629	
2016-09	2.95	36143	
2016-12	3.28	34554	
2017-02	3.53	35972	
2017-03	3.34	35309	
2017-06	2.82	33765	
2017-09	4.17	32136	
2017-12	4.03	33919	
2018-03	4.29	29460	
2018-06	3.77	31449	
2018-09	3.05	31518	
2018-12	2.88	31848	
2019-03	3.17	33959	
2019-06	3.21	38711	
2019-09	3.09	39403	
2019-12	2.84	39495	
2020-03	2.46	40926	
2020-06	2.31	40060	
2020-09	2.67	39519	
2020-12	2.76	41550	
2021-03	2.56	42047	
2021-06	5.28	46631	
2021-09	7.07	48414	
2021-10	6.1	46520.67	
2021-11	4.95	43963.33	
2021-12	4.99	42030	
2022-03	6.92	60828	
2022-06	6.81	42261	
2022-09	7.46	58305.5	
2022-10	7.05	57527	
2022-12	8.15	67633	
2023-02	9.49	74785	
2023-03	9.56	72477.5	
2023-04	9.05	62321	
2023-05	9.13	58377.5	
2023-06	8.74	56011	
2023-07	9.02	59924	
2023-08	8.49	54692.67	
2023-09	9.91	71545	
2023-10	10	73873	
2023-11	10.71	78721	
2023-12	11.86	79512.5	
2024-01	12.1	82346.33	
2024-02	13.1	84282	
2024-03	12.78	52536	
2024-04	11.52	57527	
2024-05	11.97	62348	
2024-06	11.42	59892.75	
2024-07	9.42	58091	
2024-08	8.44	55073.33	
2024-09	8.14	52614.67	
2024-10	9.14	49857	
2024-12	8.52	44986	
2025-01	7.71	44223	
