month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2005-02	1.46	0.1	
2005-03	1.5	0.13	
2005-04	1.5	0.12	
2005-05	1.23	-0.08	
2005-06	1.27	-0.06	
2005-07	1.24	-0.08	
2005-08	1.39	0.03	
2005-09	1.48	0.09	
2005-10	1.45	0.07	
2005-11	1.31	-0.04	
2005-12	1.42	0.04	
2006-01	1.62	0.18	
2006-02	1.73	0.26	
2006-03	1.7	0.23	
2006-04	2.18	0.57	
2006-05	2.53	0.81	
2006-06	2.25	0.6	
2006-07	2.39	0.68	
2006-08	2.13	0.49	
2006-09	2.12	0.47	
2006-10	2.2	0.52	
2006-11	2.28	0.56	
2006-12	2.45	0.66	
2007-01	2.78	0.87	
2007-02	3.14	1.08	
2007-03	3.87	1.51	
2007-04	5.05	2.2	
2007-05	6.14	2.74	
2007-06	7.93	3.64	
2007-07	7.53	3.25	
2007-08	9.54	4.13	
2007-09	10.69	4.45	
2007-10	12.71	5.14	
2007-11	9.62	3.47	
2007-12	9.1	3.08	
2008-01	9.38	3.06	
2008-02	8.21	2.45	
2008-03	7.22	1.96	
2008-04	5.76	1.31	
2008-05	6.06	1.39	
2008-06	4.57	0.78	
2008-07	4.53	0.74	
2008-08	3.54	0.35	
2008-09	2.97	0.12	
2008-10	2.38	-0.1	
2008-11	2.53	-0.05	
2008-12	2.88	0.08	
2009-01	2.87	0.07	
2009-02	3.72	0.37	
2009-03	4.22	0.54	
2009-04	5.67	1.04	
2009-05	6.53	1.31	
2009-06	7.5	1.6	
2009-07	8.43	1.86	
2009-08	7.63	1.53	
2009-09	6.69	1.19	
2009-10	6.98	1.24	
2009-11	8.03	1.53	
2009-12	8.32	1.57	
2010-01	7.9	1.39	
2010-02	6.99	1.07	
2010-03	7.18	1.1	
2010-04	7.47	1.14	
2010-05	6.2	0.75	
2010-06	6.15	0.71	
2010-07	5.74	0.58	
2010-08	6.27	0.7	
2010-09	6.57	0.76	
2010-10	9.43	1.47	
2010-11	10.32	1.64	
2010-12	11.16	1.79	
2011-01	11.3	1.76	
2011-02	11.34	1.69	
2011-03	11.19	1.6	
2011-04	10.62	1.41	
2011-05	9.06	1.02	
2011-06	8.76	0.92	
2011-07	10.05	1.17	
2011-08	9.5	1.01	
2011-09	8.18	0.7	
2011-10	7.68	0.58	
2011-11	7.82	0.59	
2011-12	6.79	0.36	
2012-01	7.17	0.42	
2012-02	8.18	0.6	
2012-03	8.03	0.55	
2012-04	7.83	0.5	
2012-05	8.45	0.59	
2012-06	7.91	0.48	
2012-07	7.25	0.34	
2012-08	6.93	0.27	
2012-09	7.16	0.3	
2012-10	7.12	0.28	
2012-11	6.59	0.17	
2012-12	6.89	0.22	
2013-01	7.3	0.28	
2013-02	7.24	0.25	
2013-03	6.61	0.13	
2013-04	6.2	0.06	
2013-05	5.92	0	
2013-06	5.08	-0.15	
2013-07	4.25	-0.29	
2013-08	4.46	-0.26	
2013-09	4.58	-0.24	
2013-10	4.36	-0.28	
2013-11	4.09	-0.33	
2013-12	4.02	-0.34	
2014-01	3.57	-0.42	
2014-02	3.57	-0.42	
2014-03	3.41	-0.45	
2014-04	3.55	-0.43	
2014-05	3.66	-0.41	
2014-06	3.58	-0.43	
2014-07	3.82	-0.39	
2014-08	4.09	-0.35	
2014-09	4.34	-0.31	
2014-10	4.27	-0.33	
2014-11	4.32	-0.32	
2014-12	5.78	-0.1	
2015-01	5.94	-0.08	
2015-02	5.66	-0.12	
2015-03	6.62	0.02	
2015-04	6.65	0.02	
2015-05	6.65	0.01	
2015-06	6.65	0	
2015-07	6.65	0	
2015-08	6.65	0	
2015-09	6.65	0	
2015-10	7.15	0.07	
2015-11	7.79	0.17	
2015-12	7.43	0.12	
2016-01	5.88	-0.11	
2016-02	5.28	-0.19	
2016-03	5.67	-0.12	
2016-04	5.62	-0.13	
2016-05	5.14	-0.2	
2016-06	5.08	-0.2	
2016-07	5.34	-0.16	
2016-08	5.21	-0.18	
2016-09	5.17	-0.18	
2016-10	5.37	-0.15	
2016-11	6.17	-0.03	
2016-12	6.44	0.01	
2017-01	6.42	0	
2017-02	6.76	0.04	
2017-03	6.37	-0.02	
2017-04	6.01	-0.08	
2017-05	5.38	-0.18	
2017-06	5.45	-0.17	
2017-07	5.96	-0.1	
2017-08	6.2	-0.06	
2017-09	6.18	-0.06	
2017-10	5.98	-0.09	
2017-11	5.54	-0.16	
2017-12	5.49	-0.16	
2018-01	5.71	-0.13	
2018-02	5.54	-0.15	
2018-03	5.37	-0.17	
2018-04	5.15	-0.2	
2018-05	5.12	-0.2	
2018-06	4.71	-0.27	
2018-07	4.27	-0.33	
2018-08	4.25	-0.33	
2018-09	4.25	-0.33	
2018-10	4.12	-0.35	
2018-11	4.19	-0.33	
2018-12	4.06	-0.35	
2019-01	4.02	-0.36	
2019-02	4.31	-0.3	
2019-03	5.25	-0.14	
2019-04	5.29	-0.13	
2019-05	4.79	-0.2	
2019-06	4.93	-0.17	
2019-07	4.78	-0.19	
