month	ct_avg_Tdx收盘价	人均持股
1997-12	18.88	1592	
1998-06	23.57	1448	
1998-12	14.98	1377	
1999-06	10.24	1556	
1999-12	9	1560	
2000-06	14.65	3182	
2000-12	16.37	1910	
2001-06	16.14	2011	
2001-12	13.02	2275	
2002-06	8.59	3808	
2002-09	6.82	3690	
2002-12	5.59	3702	
2003-03	5.84	3686	
2003-06	5.86	3478	
2003-09	5.28	3515	
2003-12	4.78	3337	
2004-03	5.76	3041	
2004-06	4.78	3067	
2004-09	4.29	3173	
2004-12	4.35	3186	
2005-03	3.83	3252	
2005-06	3.15	3341	
2005-09	3.77	3671	
2005-12	4.57	4016	
2006-03	4.63	3962	
2006-06	6.24	4702	
2006-09	4.85	4028	
2006-12	4.64	4077	
2007-03	7.65	3666	
2007-06	13.19	3297	
2007-09	12.39	3359	
2007-12	11.07	3395	
2008-03	11.99	2862	
2008-06	9.28	3218	
2008-09	4.42	3305	
2008-12	4.94	3434	
2009-03	7.48	4278	
2009-06	11.23	10024	
2009-09	13.75	14226	
2009-12	15.62	13250	
2010-03	17.26	13821	
2010-06	12.54	12788	
2010-09	13.86	13129	
2010-12	15.25	13183	
2011-03	16.01	15713	
2011-06	14.75	15990	
2011-09	13.39	16561	
2011-12	11.49	16730	
2012-03	12.87	17526	
2012-06	13.85	18896	
2012-09	12.39	18808	
2012-12	15.73	20905	
2013-03	17.09	20241	
2013-06	18.53	23093	
2013-09	17.47	20601	
2013-12	18.12	21594	
2014-03	15.2	15482	
2014-06	13.92	16440	
2014-09	17.93	22003	
2014-12	23.81	27080	
2015-03	28.42	16527	
2015-12	12.16	14419	
2016-03	9.25	16114	
2016-06	8.89	17944	
2016-09	11.54	22273	
2016-12	10.52	22510	
2017-03	12.11	26618	
2017-04	15.58	12491	
2017-06	14.54	15205	
2017-08	16.38	15888	
2017-09	16.1	16844.5	
2017-11	23.4	21447	
2017-12	21.95	20644	
2018-01	24.52	21600	
2018-02	23.88	22019	
2018-03	24.56	22253	
2018-04	23.92	22218	
2018-05	23.12	22016.5	
2018-06	21.23	22609.33	
2018-07	19.66	23320	
2018-08	18.64	22449.5	
2018-09	16.32	21903.33	
2018-10	14.46	21871.67	
2018-11	14.99	21717.67	
2018-12	15.27	21767	
2019-01	14.74	22121	
2019-02	17.2	24348.5	
2019-03	19.49	25040.75	
2019-04	20.19	25547.33	
2019-05	19.27	26803	
2019-06	18.44	27186.33	
2019-07	18.01	27857	
2019-08	17.53	30822	
2019-09	18.71	33631.33	
2019-10	18.88	35298.33	
2019-11	21.4	46970.67	
2019-12	23.58	55088.67	
2020-01	26.4	58502	
2020-02	24.84	58815.33	
2020-03	26.39	57379.33	
2020-04	25.82	55796	
2020-05	23.52	45939.33	
2020-06	21.93	40077	
2020-07	28.02	43877	
2020-08	32.24	47617.33	
2020-09	33.14	42951.33	
2020-10	35.83	42944	
2020-11	39.14	45061.5	
2020-12	37.38	38937	
2021-01	48.08	40241.67	
2021-02	52.22	39520.5	
2021-03	45.06	34538.33	
2021-04	44.98	29299.33	
2021-05	43.73	29482	
2021-06	44.47	30569.5	
2021-07	37.94	24676.5	
2021-08	36.14	24491	
2021-09	34.47	21355	
2021-10	31.35	20292.5	
2021-11	27.6	18983	
2021-12	32.03	21186.33	
2022-01	34.92	25100.67	
2022-02	33.27	23862.67	
2022-03	29.27	22017	
2022-04	30.24	22941	
2022-05	29.65	23470	
2022-06	30.99	24491.33	
2022-07	31.09	24938.67	
2022-08	26.83	20877.33	
2022-09	25.81	20353.33	
2022-10	22.83	20929	
2022-11	24.58	22504.67	
2022-12	26.37	24304	
2023-01	27.79	25777	
2023-02	29.36	27997.67	
2023-03	28.66	27440.5	
2023-04	26.87	26915.33	
2023-05	24.82	26334.33	
2023-06	24.55	26650	
2023-07	25.34	27923.5	
2023-08	27.9	30317	
2023-09	30.53	33969.25	
2023-10	27.25	32631	
2023-11	24.21	27243.33	
2023-12	22.71	25224.25	
2024-01	26.39	29427	
2024-02	28.07	32649	
2024-03	27.86	32130.33	
2024-04	30.22	34512	
2024-05	33.92	36037	
2024-06	31.29	35536	
2024-07	27.54	34491.67	
2024-08	25.04	33777.67	
2024-09	25.53	32921	
2024-10	31.59	34502	
2024-11	29.8	31639	
2024-12	29.05	29536	
2025-01	30.83	30054.33	
