month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2002-11	0.79	-96.62	
2002-12	0.72	-94.81	
2003-01	0.71	-89.42	
2003-02	0.76	-74.11	
2003-03	0.72	-87.03	
2003-04	0.79	-52.92	
2003-05	0.76	-46.9	
2003-06	0.73	-68.92	
2003-07	0.69	-83.93	
2003-08	0.66	-88.05	
2003-09	0.6	-94.07	
2003-10	0.55	-93.9	
2003-11	0.6	-76.79	
2003-12	0.6	-73.64	
2004-01	0.62	-60.23	
2004-02	0.71	-16.43	
2004-03	0.75	18.56	
2004-04	0.86	50.2	
2004-05	0.9	63.78	
2004-06	0.82	54.55	
2004-07	0.81	55.4	
2004-08	0.77	36.36	
2004-09	0.78	24.47	
2004-10	0.89	68.31	
2004-11	0.92	83.12	
2004-12	0.88	70.38	
2005-01	0.86	56.92	
2005-02	0.92	80.08	
2005-03	0.97	88.63	
2005-04	1.08	93.62	
2005-05	1	80.46	
2005-06	0.9	40.5	
2005-07	0.94	36.52	
2005-08	1.03	73.33	
2005-09	1.14	88.11	
2005-10	1.13	82.76	
2005-11	1.06	69.48	
2005-12	1.02	38.48	
2006-01	1.06	56.53	
2006-02	1.02	39.39	
2006-03	1.09	29.46	
2006-04	1.44	89.78	
2006-05	1.79	98.71	
2006-06	2.01	96.87	
2006-07	2.15	95.2	
2006-08	2.1	85.6	
2006-09	2.2	92.3	
2006-10	2.58	98.48	
2006-11	2.48	88.88	
2006-12	3.28	99.45	
2007-01	4.21	97.81	
2007-02	4.61	95.48	
2007-03	4.17	81.7	
2007-04	4.62	89.67	
2007-05	5.63	98.76	
2007-06	6.76	97.53	
2007-07	6.59	87.87	
2007-08	6.85	93.09	
2007-09	6.67	83.08	
2007-10	6.43	58.93	
2007-11	6.75	61	
2007-12	8.11	93.88	
2008-01	8.71	96.06	
2008-02	8.53	90.24	
2008-03	7.47	58.12	
2008-04	6.81	21.6	
2008-05	7.58	35.94	
2008-06	6.71	-0.63	
2008-07	6.98	-17.2	
2008-08	6.96	-15.35	
2008-09	6.33	-44.6	
2008-10	6.04	-60.71	
2008-11	6.07	-69.02	
2008-12	6.9	-29.89	
2009-01	6.93	-10.89	
2009-02	7.32	18.57	
2009-03	7.38	39.29	
2009-04	7.43	51.83	
2009-05	7.35	48.41	
2009-06	7.8	73.54	
2009-07	8.04	83.54	
2009-08	8.4	90.48	
2009-09	9.44	96.87	
2009-10	9.38	88.23	
2009-11	10.46	98.43	
2009-12	11.13	95.89	
2010-01	10.95	87.28	
2010-02	10.65	74.88	
2010-03	10.54	64.21	
2010-04	11.86	86.01	
2010-05	11.84	89.2	
2010-06	11.98	87.12	
2010-07	10.63	40.54	
2010-08	11.57	64.37	
2010-09	12.56	82.1	
2010-10	12.54	86.22	
2010-11	15.06	95.05	
2010-12	15.23	88.86	
2011-01	13.59	68.3	
2011-02	13.77	63.75	
2011-03	12.92	35.87	
2011-04	12.65	8.69	
2011-05	12.88	5.87	
2011-06	12.06	-28.96	
2011-07	12.98	-13.65	
2011-08	12.82	-9.98	
2011-09	12.02	-51.53	
2011-10	11.69	-76.73	
2011-11	12.41	-50	
2011-12	12.21	-49.23	
2012-01	10.78	-88.81	
2012-02	10.92	-86.96	
2012-03	10.92	-85.23	
2012-04	10.87	-83.04	
2012-05	11.4	-57.14	
2012-06	12.44	-7.01	
2012-07	13.03	29.83	
2012-08	13.26	48.41	
2012-09	13.63	62.59	
2012-10	13.58	67.01	
2012-11	12.94	50.24	
2012-12	12.66	26.87	
2013-01	13.79	63.93	
2013-02	14.61	84.94	
2013-03	14.8	89.46	
2013-04	13.73	66.62	
2013-05	13.9	62.99	
2013-06	13.58	43.22	
2013-07	15.5	62.54	
2013-08	16.63	87.62	
2013-09	16.41	86.51	
2013-10	16.31	80.31	
2013-11	15.84	65.82	
2013-12	17.64	90.02	
2014-01	18.46	91.11	
2014-02	18.31	89.56	
2014-03	16.97	59.18	
2014-04	16.58	30.95	
2014-05	16.87	23.75	
2014-06	17.99	64.64	
2014-07	17.6	61.3	
2014-08	18.39	79.8	
2014-09	19.29	86.78	
2014-10	20.82	90.23	
2014-11	19.79	77.01	
2014-12	19.51	70.3	
2015-01	21.09	88.79	
2015-02	21.46	91.67	
2015-03	22.67	96.27	
2015-04	28.1	99.57	
2015-05	30.89	97.68	
2015-06	30.94	88.9	
2015-07	30.01	80.98	
2015-08	31.25	85.25	
2015-09	31.22	83.97	
2015-10	33.62	94.17	
2015-11	34.79	90.9	
2015-12	34.17	82.76	
2016-01	30.54	42.68	
2016-02	31.22	29.4	
2016-03	32.24	35.91	
2016-04	32.32	35.8	
2016-05	31.76	7.23	
2016-06	32.16	4.2	
2016-07	34.76	63.82	
2016-08	36.34	85.4	
2016-09	35.92	77.5	
2016-10	38.02	89.62	
2016-11	37.87	87.91	
2016-12	38.18	89.12	
2017-01	38.17	81.2	
2017-02	40.36	97.92	
2017-03	42.77	98.76	
2017-04	44.98	98.16	
2017-05	46.77	96.25	
2017-06	49.82	96.92	
2017-07	49.2	88.01	
2017-08	52.5	97.44	
2017-09	57.69	98.3	
2017-10	63.53	99.79	
2017-11	67.85	93.42	
2017-12	67.59	92.01	
2018-01	73.02	97.32	
2018-02	70.88	85.59	
2018-03	80.53	98.33	
2018-04	82.87	91.57	
2018-05	90.16	96.67	
2018-06	100.13	96.43	
2018-07	92.52	79.79	
2018-08	86.52	58.19	
2018-09	79.54	27.16	
2018-10	74.68	-3.72	
2018-11	82.56	5.07	
2018-12	74.19	-18.17	
2019-01	72.5	-38.07	
2019-02	84.76	-4.88	
2019-03	92.93	33.08	
2019-04	99.68	53.7	
2019-05	96.92	55.22	
2019-06	97.38	57.66	
2019-07	103.56	78.22	
2019-08	109.14	90.1	
2019-09	123.92	98.21	
2019-10	131.78	98.01	
2019-11	141.03	95.79	
2019-12	131.76	76.62	
2020-01	135.32	83.48	
2020-02	138.05	88.66	
2020-03	134.28	69.64	
2020-04	147.79	88.35	
2020-05	149.29	93.1	
2020-06	161.13	97.95	
2020-07	179.53	95.81	
2020-08	171.91	84.52	
2020-09	168.72	73.7	
2020-10	169.72	68.64	
2020-11	162.73	42.9	
2020-12	185	63.74	
2021-01	204.55	91.61	
2021-02	193.9	82.98	
2021-03	172.04	46.24	
2021-04	159.87	8.25	
2021-05	156.32	-8.73	
2021-06	156.85	-24.7	
2021-07	136.6	-60.71	
2021-08	117.65	-86.36	
2021-09	107.09	-87.72	
2021-10	114.12	-79.58	
2021-11	115.74	-74.88	
2021-12	112.29	-84.51	
2022-01	104.48	-86.56	
2022-02	91.33	-95.54	
2022-03	83.97	-97.51	
2022-04	73.22	-99.25	
2022-05	66.23	-96.33	
2022-06	73.26	-78.7	
2022-07	85.44	-55.02	
2022-08	80.57	-53.88	
2022-09	76.67	-64.37	
2022-10	85.29	-31.59	
2022-11	91.01	10.39	
2022-12	86.1	3.86	
2023-01	91.33	28.46	
2023-02	98.17	51.47	
2023-03	95.01	53.73	
2023-04	105.31	74.44	
2023-05	107.24	81.92	
2023-06	104.28	74.29	
2023-07	107.31	82.7	
2023-08	91.82	22.21	
2023-09	97.11	15.18	
2023-10	100.36	27.15	
2023-11	107.48	62.21	
2023-12	101.73	47.41	
2024-01	92.81	-9.37	
2024-02	92.23	-36.99	
2024-03	101.75	-3.61	
2024-04	100.51	3.8	
2024-05	100.39	16.34	
2024-06	93.59	-42.76	
2024-07	91.6	-61.45	
2024-08	97.35	-34.9	
