month	ct_avg_前复权价格	股东人数
2003-12	0.98	9919	
2004-03	1.45	8227	
2004-06	1.47	8635	
2004-09	1.45	8323	
2004-12	1.67	7451	
2005-03	1.58	6750	
2005-06	1.54	6143	
2005-09	1.86	4745	
2005-12	1.82	4315	
2006-03	2.17	4584	
2006-06	3.32	4390	
2006-09	3.03	4209	
2006-12	3.17	5147	
2007-03	4.18	7761	
2007-06	5.66	8594	
2007-09	5.1	15728	
2007-12	4.97	11282	
2008-03	4.91	9798	
2008-06	3.85	8295	
2008-09	3.12	7915	
2008-12	4.09	7104	
2009-03	4.23	7976	
2009-06	6.49	9014	
2009-09	6.6	7867	
2009-12	8.55	6817	
2010-03	11.08	21001	
2010-06	16.06	18147	
2010-09	21.74	13337	
2010-12	27.92	14719	
2011-03	25.81	39667	
2011-06	25.73	37644	
2011-09	26.42	33049	
2011-12	24.76	29778	
2012-01	22.71	32101	
2012-03	23.93	39608	
2012-06	21.27	41729	
2012-09	18.71	42234	
2012-12	16.55	47907	
2013-03	17.52	49493	
2013-06	24	43117	
2013-09	25.09	50478	
2013-12	22.85	56953	
2014-03	25.56	62622	
2014-06	20.72	77472	
2014-09	25.63	62878	
2014-12	25.27	74111	
2015-03	27.5	77362	
2015-06	41.52	92201	
2015-09	23.33	84756	
2015-12	24.26	93560	
2016-03	21.43	83474	
2016-06	21.4	83518	
2016-09	25.71	67309	
2016-12	26.15	78923	
2017-02	26.84	78960	
2017-03	26.84	78990	
2017-06	27.87	76590	
2017-09	26.92	81465	
2017-12	30.62	75245	
2018-03	27.51	73146	
2018-06	27.35	60150	
2018-09	28.05	55968	
2018-12	30.88	50931	
2019-03	35.02	73609	
2019-06	30.29	62936	
2019-09	34.31	52050	
2019-12	36.4	51314	
2020-03	35.76	70440	
2020-06	33.89	66772	
2020-09	35.63	65658	
2020-12	41.73	46643	
2021-03	51.77	52021	
2021-06	50.86	62878	
2021-09	72.04	66390	
2021-12	89.92	93215	
2022-03	68.44	96640	
2022-06	70.72	98325	
2022-09	65.24	99179	
2022-12	65.64	98103	
2023-03	69.09	88479	
2023-06	70.05	80321	
2023-09	71.43	77188	
2023-12	66.99	73961	
2024-03	76.48	65440	
2024-06	76.71	73053	
2024-09	82.24	67376	
