month	ct_avg_前复权价格	人均持股
2009-12	0.54	166091	
2010-03	0.54	240543	
2010-06	0.47	255896	
2010-09	0.49	262338	
2010-12	0.51	281081	
2011-03	0.49	286939	
2011-06	0.46	293231	
2011-09	0.44	297875	
2011-12	0.42	298876	
2012-03	0.44	302590	
2012-06	0.47	303543	
2012-09	0.44	305749	
2012-12	0.44	371327	
2013-03	0.42	386747	
2013-06	0.39	389406	
2013-09	0.42	394443	
2013-12	0.43	409820	
2014-03	0.36	413176	
2014-06	0.4	415526	
2014-09	0.46	424423	
2014-12	0.63	421330	
2015-03	0.77	443197	
2015-06	0.75	477594	
2015-09	0.55	480738	
2015-12	0.67	482997	
2016-03	0.6	484177	
2016-06	0.64	485872	
2016-09	0.71	489730	
2016-12	0.72	492599	
2017-03	0.67	497187	
2017-06	0.79	503593	
2017-09	0.94	543963	
2017-12	1.07	556395	
2018-03	0.98	56866	
2018-06	0.85	585630	
2018-09	0.85	588237	
2018-12	0.77	591118	
2019-03	0.86	593647	
2019-06	0.91	596967	
2019-09	0.98	601235	
2019-12	0.96	604377	
2020-03	0.78	607287	
2020-06	0.77	611974	
2020-09	0.85	619625	
2020-12	1.03	627612	
2021-03	1.13	646020	
2021-06	0.88	651479	
2021-09	0.8	657654	
2021-12	0.79	662205	
2022-03	0.69	665061	
2022-06	0.65	668747	
2022-09	0.62	673126	
2022-12	0.73	677563	
2023-03	0.81	682899	
2023-06	0.85	685598	
2023-09	0.93	689858	
2023-12	0.73	692613	
2024-03	0.74	695041	
2024-06	0.89	698892	
2024-09	1.02	704212	
