month	ct_avg_前复权价格	股东人数
2001-12	0.81	37	
2002-06	0.76	43	
2002-09	0.8	42	
2003-03	0.63	48	
2003-06	0.63	50	
2003-09	0.52	48	
2003-12	0.47	43	
2004-03	0.52	40	
2004-06	0.46	42	
2004-12	0.34	41	
2005-03	0.3	39	
2005-06	0.37	37	
2005-09	0.46	36	
2005-12	0.43	34	
2006-03	0.48	32	
2006-06	0.62	29	
2006-12	0.71	28	
2007-03	1.09	27	
2007-06	1.37	28	
2007-12	1.44	26	
2008-03	1.33	26	
2008-06	1.07	26	
2008-09	0.61	27	
2008-12	0.58	28	
2009-03	0.68	28	
2009-06	0.73	28	
2009-09	0.72	32	
2009-12	1.1	34	
2010-03	1.12	34	
2010-06	1.05	34	
2010-09	1.31	32	
2010-12	1.69	33	
2011-03	2.06	35	
2011-06	1.45	35	
2011-09	1.32	37	
2011-12	1.24	38	
2012-03	1.25	40	
2012-06	2.15	37	
2012-09	2.17	36	
2012-12	1.8	34	
2013-03	2.72	30	
2013-06	3.25	34	
2013-09	3.19	27	
2014-06	2.39	27	
2014-09	2.65	27	
2014-12	2.59	29	
2015-03	3.03	28	
2015-06	4	25	
2015-09	2.53	27	
2015-12	2.87	27	
2016-03	2.15	27	
2016-06	2.34	27	
2016-09	2.4	27	
2016-12	2.34	28	
2017-03	2.73	27	
2017-06	2.78	27	
2017-09	2.71	27	
2017-12	3.17	26	
2018-03	2.74	27	
2018-06	3.97	25	
2018-09	3.48	25	
2018-12	3.67	26	
2019-03	3.79	27	
2019-06	3.89	27	
2019-09	3.67	27	
2019-12	3.36	29	
2020-03	3.29	27	
2020-06	3.22	28	
2020-09	3.19	28	
2020-12	3.08	27	
2021-02	2.92	116588	
2021-03	2.94	30	
2021-06	3.18	42	
2021-12	3.21	53	
2022-06	3.25	52	
2022-12	3.37	51	
2023-06	3.54	51	
2023-12	3.15	51	
2024-06	3.35	51	
2024-09	2.91	87322	
