month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2006-11	1.36	0.11	
2006-12	1.52	0.23	
2007-01	1.84	0.47	
2007-02	1.92	0.54	
2007-03	2.13	0.69	
2007-04	2.67	1.09	
2007-05	3.67	1.82	
2007-06	3.9	1.93	
2007-07	3.56	1.62	
2007-08	4.12	1.96	
2007-09	4.79	2.37	
2007-10	4.56	2.12	
2007-11	3.93	1.66	
2007-12	4.46	1.95	
2008-01	5.13	2.31	
2008-02	5.42	2.41	
2008-03	5.27	2.23	
2008-04	4.5	1.69	
2008-05	5.1	1.98	
2008-06	4.15	1.4	
2008-07	4.33	1.46	
2008-08	3.83	1.15	
2008-09	2.94	0.63	
2008-10	2.65	0.46	
2008-11	2.6	0.44	
2008-12	3.18	0.74	
2009-01	3.67	0.98	
2009-02	4.27	1.28	
2009-03	4.37	1.3	
2009-04	4.42	1.29	
2009-05	4.3	1.21	
2009-06	4.89	1.46	
2009-07	4.82	1.39	
2009-08	5.34	1.6	
2009-09	5.71	1.72	
2009-10	5.86	1.74	
2009-11	6.72	2.07	
2009-12	6.42	1.87	
2010-01	6.73	1.94	
2010-02	6.63	1.82	
2010-03	6.92	1.87	
2010-04	7.74	2.13	
2010-05	7.31	1.89	
2010-06	6.91	1.67	
2010-07	6	1.27	
2010-08	6.91	1.56	
2010-09	7.1	1.57	
2010-10	7.04	1.5	
2010-11	7.27	1.52	
2010-12	7.12	1.42	
2011-01	6.26	1.09	
2011-02	6.27	1.06	
2011-03	6.26	1.03	
2011-04	5.94	0.89	
2011-05	5.79	0.82	
2011-06	5.28	0.63	
2011-07	5.64	0.72	
2011-08	5.24	0.58	
2011-09	5.01	0.49	
2011-10	4.86	0.43	
2011-11	4.97	0.44	
2011-12	4.44	0.28	
2012-01	4.28	0.22	
2012-02	4.52	0.28	
2012-03	4.84	0.35	
2012-04	4.81	0.33	
2012-05	5.14	0.41	
2012-06	5.17	0.4	
2012-07	5.74	0.53	
2012-08	5.82	0.54	
2012-09	5.51	0.44	
2012-10	5.42	0.4	
2012-11	4.96	0.27	
2012-12	4.94	0.25	
2013-01	5.5	0.38	
2013-02	5.81	0.44	
2013-03	6.1	0.49	
2013-04	6.05	0.46	
2013-05	6.28	0.5	
2013-06	5.84	0.38	
2013-07	5.72	0.33	
2013-08	5.99	0.38	
2013-09	6.35	0.45	
2013-10	8.88	0.99	
2013-11	9.16	1.01	
2013-12	9.59	1.07	
2014-01	9.42	1	
2014-02	10.91	1.26	
2014-03	11.39	1.32	
2014-04	10.24	1.04	
2014-05	9.89	0.94	
2014-06	10.29	0.98	
2014-07	9.72	0.84	
2014-08	9.8	0.82	
2014-09	10.02	0.84	
2014-10	10.24	0.85	
2014-11	10.46	0.86	
2014-12	11.23	0.96	
2015-01	11.74	1.01	
2015-02	11.76	0.98	
2015-03	12.65	1.09	
2015-04	13.88	1.25	
2015-05	15.42	1.44	
2015-06	17.8	1.75	
2015-07	13.83	1.1	
2015-08	13.3	0.99	
2015-09	12.38	0.83	
2015-10	13.42	0.95	
2015-11	13.72	0.97	
2015-12	13.05	0.85	
2016-01	10.46	0.47	
2016-02	9.85	0.37	
2016-03	10.3	0.42	
2016-04	10.51	0.44	
2016-05	10.07	0.37	
2016-06	10.13	0.37	
2016-07	11.21	0.5	
2016-08	11.84	0.57	
2016-09	12.77	0.68	
2016-10	12.73	0.66	
2016-11	13.07	0.68	
2016-12	12.44	0.58	
2017-01	13.08	0.64	
2017-02	13.81	0.71	
2017-03	14.61	0.78	
2017-04	16	0.92	
2017-05	16.61	0.97	
2017-06	17.35	1.02	
2017-07	16.04	0.84	
2017-08	16.17	0.83	
2017-09	17.17	0.92	
2017-10	21.12	1.32	
2017-11	22.5	1.42	
2017-12	23.59	1.49	
2018-01	23.96	1.48	
2018-02	21.37	1.18	
2018-03	23.86	1.39	
2018-04	22.49	1.22	
2018-05	23.85	1.31	
2018-06	23.83	1.27	
2018-07	21.8	1.05	
2018-08	18.13	0.69	
2018-09	16.08	0.49	
2018-10	15.51	0.42	
2018-11	15.44	0.4	
2018-12	14.27	0.29	
2019-01	12.56	0.13	
2019-02	14.49	0.29	
2019-03	16.28	0.44	
2019-04	16.47	0.45	
