month	ct_avg_前复权价格	股东人数
2007-06	0.91	26479	
2007-09	0.97	21835	
2007-12	1.09	22457	
2008-03	0.92	23867	
2008-06	0.75	24107	
2008-09	0.47	24169	
2008-12	0.44	28978	
2009-03	0.58	30407	
2009-06	0.71	45269	
2009-09	0.52	43987	
2009-12	0.65	37825	
2010-03	0.84	20696	
2010-06	0.88	17638	
2010-09	1.19	14244	
2010-12	1.88	11129	
2011-03	2.4	10938	
2011-06	1.99	15516	
2011-09	1.9	17980	
2011-12	1.3	29080	
2012-03	1.53	21906	
2012-06	1.46	17872	
2012-09	1.47	16167	
2012-12	1.33	15962	
2013-03	1.48	15146	
2013-06	1.98	14971	
2013-09	2.32	14722	
2013-12	2.09	17858	
2014-03	1.86	22097	
2014-06	2.12	20457	
2014-09	2.47	20770	
2014-12	2.28	20331	
2015-03	3.23	23273	
2015-06	6.72	52711	
2015-09	2.54	76335	
2015-12	3.03	101624	
2016-03	1.99	99372	
2016-06	1.99	103394	
2016-09	1.99	103339	
2016-12	1.99	103297	
2017-03	1.99	103329	
2017-06	1.99	103316	
2017-09	1.99	110151	
2017-12	2.86	151243	
2018-03	2.32	143598	
2018-06	1.9	133278	
2018-09	1.82	121190	
2018-12	1.73	111032	
2019-03	2.42	105075	
2019-06	2.35	92746	
2019-09	2.99	106769	
2019-11	2.67	110000	
2019-12	2.69	121631	
2020-03	4.08	153854	
2020-06	4.84	142120.5	
2020-09	5.33	185360	
2020-10	5.74	165000	
2020-11	5.6	168000	
2020-12	6.03	157180	
2021-01	7.2	160900	
2021-02	6.66	174842	
2021-03	6.67	152658	
2021-05	6.69	157000	
2021-06	7.73	153437	
2021-07	10.52	144000	
2021-09	11.59	190483	
2021-10	11.97	187500	
2021-11	11.4	247000	
2021-12	9.96	244657	
2022-02	10.8	190000	
2022-03	11.06	174509	
2022-04	9.74	173000	
2022-05	10.08	176976	
2022-06	11.52	155341	
2022-07	13.72	170000	
2022-08	12.74	180000	
2022-09	11.3	188850	
2022-10	10.46	197000	
2022-11	10.65	205500	
2022-12	9.44	216514	
2023-01	9.78	206000	
2023-02	10.37	194000	
2023-03	11.29	180717	
2023-04	11.03	181000	
2023-05	9.72	191100	
2023-06	9.34	193670	
2023-08	8.17	217050	
2023-09	7.34	216153	
2023-10	6.26	217587	
2023-11	5.6	230198	
2023-12	4.67	241210	
2024-03	3.98	279736	
2024-06	2.96	280095	
2024-09	2.58	266240	
