month	ct_avg_前复权价格	人均持股
2007-03	1.12	6691	
2007-06	1.42	15298	
2007-09	2.56	13767	
2007-12	2.38	8898	
2008-03	1.66	33357	
2008-06	1.32	28583	
2008-09	0.79	28260	
2008-12	0.71	28733	
2009-03	0.95	34681	
2009-06	1.52	46292	
2009-09	1.57	36084	
2009-12	1.82	42952	
2010-03	1.66	39388	
2010-06	1.21	31331	
2010-09	1.22	28358	
2010-12	1.23	24701	
2011-03	1.39	29657	
2011-06	1.23	42064	
2011-09	1.19	41338	
2011-12	1.15	41962	
2012-03	1.26	45462	
2012-06	1.21	44529	
2012-09	1.13	44383	
2012-12	1.4	53606	
2013-03	1.82	50365	
2013-06	1.51	46876	
2013-09	1.72	66543	
2013-12	1.52	58253	
2014-03	1.35	55130	
2014-06	1.47	60692	
2014-09	1.6	59794	
2014-12	2.16	61419	
2015-03	2.49	50764	
2015-06	2.97	36537	
2015-09	2.31	51569	
2015-12	2.65	62486	
2016-03	2.44	77089	
2016-06	2.55	83173	
2016-09	2.65	87130	
2016-12	2.75	91287	
2017-03	2.72	81742	
2017-06	2.77	77722	
2017-09	3.01	83471	
2017-12	2.97	79514	
2018-03	3.03	73327	
2018-06	2.71	69676	
2018-09	2.72	75008	
2018-12	2.8	78305	
2019-03	3.29	84644	
2019-06	3.33	86208	
2019-09	3.28	79646	
2019-12	3.64	95096	
2020-03	3.09	75939	
2020-06	2.98	70919	
2020-09	3.16	66004	
2020-12	4.01	88090	
2021-03	4.67	79652	
2021-06	4.15	59031	
2021-09	3.85	57088	
2021-12	3.88	60360	
2022-03	4.18	69502	
2022-06	4.1	72825	
2022-09	3.66	63276	
2022-12	3.75	68887	
2023-03	3.6	61461	
2023-06	3.61	61701	
2023-09	3.73	67283	
2023-12	3.34	62821	
2024-03	3.77	69349	
2024-06	4.02	77885	
2024-09	4.09	85733	
