month	ct_avg_前复权价格	人均持股
2014-03	1.51	2156	
2014-06	1.38	2076	
2014-09	1.96	2582	
2014-12	1.72	2859	
2015-03	2.02	5595	
2015-06	2.61	5886	
2015-09	1.62	6960	
2015-12	4.29	4028	
2016-03	3.75	4147	
2016-06	8.58	2468	
2016-09	6.65	2840	
2016-12	5.88	3048	
2017-03	6.55	3670	
2017-06	5	3757	
2017-09	6.59	5190	
2017-12	5.57	5147	
2018-03	6.15	5271	
2018-06	5.06	4472	
2018-09	3.05	4270	
2018-12	3.09	4696	
2019-03	4.25	9516	
2019-06	3.04	9107	
2019-09	3.55	15846	
2019-12	3.93	11634	
2020-03	4.65	14050	
2020-06	6.3	22119	
2020-09	9.42	23580	
2020-12	18.9	8280	
2021-03	17.71	6355	
2021-06	34.64	7840	
2021-09	50.23	10857	
2021-12	43.42	5825	
2022-03	34.45	5928	
2022-06	37.92	6570	
2022-09	33.07	6243	
2022-12	34.34	7033	
2023-03	29.63	6312	
2023-06	29.25	8061	
2023-09	21.05	7954	
2023-12	16.46	7956	
2024-03	15.36	7204	
2024-06	13.8	7318	
2024-09	10.47	7277	
