month	ct_avg_前复权价格	人均持股
2010-08	0.97	0	
2010-09	0.93	1886	
2010-12	0.85	2311	
2011-03	0.79	2291	
2011-06	0.64	2888	
2011-09	0.54	14831	
2011-12	0.42	14269	
2012-03	0.46	13662	
2012-06	0.38	19766	
2012-09	0.37	20124	
2012-12	0.36	20820	
2013-03	0.44	20032	
2013-06	0.38	23536	
2013-09	0.43	32885	
2013-12	0.41	32005	
2014-03	0.38	29787	
2014-06	0.39	37528	
2014-09	0.51	35083	
2014-12	0.71	39778	
2015-03	0.77	34942	
2015-06	1.47	16937	
2015-09	0.61	15424	
2015-12	0.87	16051	
2016-03	0.58	14137	
2016-06	0.72	15549	
2016-09	0.7	16430	
2016-12	0.64	15903	
2017-02	0.64	16249	
2017-03	0.64	16246	
2017-06	0.59	17142	
2017-09	0.63	18571	
2017-12	0.74	17882	
2018-03	0.61	18153	
2018-06	0.53	19027	
2018-09	0.88	21647	
2018-12	0.96	20018	
2019-03	1.5	17412	
2019-06	1.46	16091	
2019-09	3.61	8432	
2019-12	3.14	7585	
2020-03	3.61	8191	
2020-06	3.32	8150	
2020-09	2.69	7278	
2020-12	2.62	7789	
2021-03	2.35	8531	
2021-06	2.08	8661	
2021-09	1.81	9962	
2021-12	2.38	12611	
2022-03	2.21	14401	
2022-06	2.46	14780	
2022-09	1.73	10520	
2022-12	1.88	12391	
2023-03	2.73	16935	
2023-06	3.3	12131	
2023-09	3.18	16772	
2023-12	3.36	19187	
2024-03	4.73	16849	
2024-06	5.6	19326	
2024-09	5.25	17474	
