month	ct_avg_前复权价格	人均持股
2010-09	0.98	491268	
2010-12	0.97	535756	
2011-03	0.99	543895	
2011-06	1.03	559252	
2011-09	0.96	994398	
2011-12	0.98	997560	
2012-03	1.01	1012011	
2012-06	1	1014349	
2012-09	0.97	1017909	
2012-12	1.08	1026235	
2013-03	1.13	1052627	
2013-06	1.05	1057262	
2013-09	1.08	1063333	
2013-12	1.07	1075348	
2014-03	0.99	1081211	
2014-06	1.07	1086754	
2014-09	1.13	1100251	
2014-12	1.47	1107745	
2015-03	1.56	1123618	
2015-06	1.73	1164085	
2015-09	1.5	1167312	
2015-12	1.55	1169310	
2016-03	1.51	1169399	
2016-06	1.51	1169444	
2016-09	1.58	1176065	
2016-12	1.59	1183674	
2017-03	1.64	1194854	
2017-06	1.76	1203745	
2017-09	2	1234193	
2017-12	1.97	1251836	
2018-03	2.12	1300839	
2018-06	1.98	1319603	
2018-09	2.04	1323295	
2018-12	1.98	1327123	
2019-03	2.07	1332242	
2019-06	2.1	1337168	
2019-09	2.02	1342776	
2019-12	2.12	1347071	
2020-03	1.97	1354611	
2020-06	1.96	1356883	
2020-09	1.94	1377002	
2020-12	1.96	1386630	
2021-03	2.05	1403343	
2021-06	2	1413864	
2021-09	1.93	1425668	
2021-12	1.91	1434048	
2022-03	1.93	1439623	
2022-06	1.95	1445173	
2022-09	1.98	1456747	
2022-12	2.01	1461665	
2023-03	2.12	1471109	
2023-06	2.48	1478539	
2023-09	2.6	1488851	
2023-12	2.68	1496462	
2024-03	3.12	1506436	
2024-06	3.31	1519693	
2024-09	3.6	1531275	
