month	ct_avg_前复权价格	股东人数
2003-06	0.97	27274	
2003-09	0.79	26121	
2003-12	0.65	24858	
2004-03	1.03	15798	
2004-06	0.98	19405	
2004-09	0.81	24531	
2004-12	0.81	29142	
2005-03	0.64	29458	
2005-06	0.55	25159	
2005-09	0.74	19514	
2005-12	0.75	15893	
2006-03	0.9	17718	
2006-06	1.19	14554	
2006-09	1.37	12336	
2006-12	1.53	12057	
2007-03	2	21545	
2007-06	2.02	25619	
2007-09	2.68	18355	
2007-12	2.66	29898	
2008-03	2.64	46999	
2008-06	1.73	74386	
2008-09	1.12	90385	
2008-12	1.05	94400	
2009-03	1.31	110147	
2009-06	1.56	110892	
2009-09	1.65	109940	
2009-12	2.62	80023	
2010-03	3.12	131423	
2010-06	3.81	159635	
2010-09	4.11	155944	
2010-12	4.09	194523	
2011-03	3.84	191726	
2011-06	2.86	188722	
2011-09	2.62	179412	
2011-12	1.97	174874	
2012-03	2.15	169997	
2012-06	1.76	164531	
2012-09	1.65	161064	
2012-12	1.4	156336	
2013-03	1.71	153549	
2013-06	2.08	140112	
2013-09	2.27	134276	
2013-12	2.25	124087	
2014-03	2.93	113969	
2014-06	2.93	110690	
2014-09	3.87	97004	
2014-12	3.85	103654	
2015-03	5.24	101457	
2015-06	8.92	94654	
2015-09	4.69	83119	
2015-12	7.61	81224	
2016-03	7.61	81180	
2016-06	6.4	96345	
2016-09	6.45	75350	
2016-12	6.25	78272	
2017-03	6.58	71251	
2017-06	5.45	75217	
2017-09	5.98	73464	
2017-12	7.55	91385	
2018-03	7.22	87342	
2018-06	6.06	101222	
2018-09	4.65	98981	
2018-12	3.29	99644	
2019-03	5.03	116290	
2019-06	4.58	125832	
2019-09	6.3	104698	
2019-12	7.86	119983	
2020-03	8.23	170729	
2020-06	10.14	217702	
2020-09	12.65	310930	
2020-12	14.37	306423	
2021-03	12.43	319016	
2021-06	12.35	347883	
2021-09	11.42	364703	
2021-12	11.01	385112	
2022-03	8.94	357413	
2022-06	8.72	365733	
2022-09	8.25	354221	
2022-12	8.43	336637	
2023-03	10.73	283785	
2023-06	11.18	268402	
2023-09	11	242623	
2023-12	10.32	227090	
2024-03	10.01	286346	
2024-06	10.46	230147	
2024-09	10.55	223079	
