month	ct_avg_前复权价格	股东人数
2011-11	0.99	39219	
2011-12	0.91	7863	
2012-01	0.72	7479	
2012-03	0.75	14531	
2012-06	0.6	12178	
2012-09	0.46	12983	
2012-12	0.42	11584	
2013-03	0.55	10497	
2013-06	0.78	9266	
2013-09	1.28	6931	
2013-12	1.51	5981	
2014-03	1.69	9537	
2014-06	1.58	14404	
2014-09	2	15657	
2014-12	1.78	24057	
2015-03	2.72	9576	
2015-06	4.31	30734	
2015-09	2.26	27221	
2015-12	2.82	33876	
2016-03	2.11	33938	
2016-06	2.53	35018	
2016-09	2.39	38219	
2016-12	2.03	41029	
2017-03	1.99	40312	
2017-06	2.03	40037	
2017-08	2.39	34942.5	
2017-09	2.88	33024.5	
2017-10	3.25	30263	
2017-12	3.42	36552	
2018-01	3.33	37192	
2018-02	2.94	36396.5	
2018-03	3.4	36832.5	
2018-04	3.45	36272.5	
2018-05	3.29	40487	
2018-06	1.88	53205.5	
2018-07	1.58	54686	
2018-08	1.36	58164	
2018-09	1.32	59882	
2018-12	1.8	48728	
2019-03	2.25	51165	
2019-06	1.77	44856	
2019-09	2.36	38712	
2019-11	1.95	43194	
2019-12	2.12	41352	
2020-03	2.12	52309	
2020-04	1.93	50931	
2020-05	2.13	47332.5	
2020-06	2.41	37283	
2020-09	4.85	49944	
2020-11	9.03	51783	
2020-12	11.74	82029	
2021-01	17.57	104278	
2021-03	14.04	153912	
2021-06	19.16	109412	
2021-09	27.03	124448	
2021-12	28.46	134932	
2022-03	23.19	140181	
2022-06	17.88	154081	
2022-09	22.54	126047	
2022-12	20.35	136437	
2023-03	21.03	143001	
2023-06	21.51	107156	
2023-09	17.83	138007	
2023-12	15.86	128503	
2024-03	19.88	109029	
2024-06	18.85	113010	
2024-09	21.87	109647	
