month	ct_avg_前复权价格	人均持股
1998-12	1.13	1524	
1999-12	1.84	6116	
2000-12	5.23	13558	
2001-12	2	2794	
2002-06	1.98	3312	
2002-09	2.1	3996	
2002-12	1.8	4127	
2003-03	1.98	4383	
2003-06	2.48	4971	
2003-09	2.26	5155	
2003-12	2.1	4668	
2004-03	2.73	3211	
2004-06	2.41	3212	
2004-09	2.52	3797	
2004-12	2.48	3511	
2005-03	2.08	3633	
2005-06	1.4	3459	
2005-09	1.48	3649	
2005-12	1.81	4677	
2006-03	2.53	6162	
2006-06	3.75	6945	
2006-09	4.32	7196	
2006-12	4.77	5534	
2007-03	6.54	6601	
2007-06	8.37	7260	
2007-09	9.47	6056	
2007-12	9.04	6155	
2008-03	7.11	6054	
2008-06	4.17	6004	
2008-09	3.09	6142	
2008-12	2.89	6107	
2009-03	3.7	8625	
2009-06	4.34	8737	
2009-09	5.65	10218	
2009-12	6.27	10429	
2010-03	6.97	9456	
2010-06	5.73	8636	
2010-09	6.5	8512	
2010-12	7.29	8831	
2011-03	7.23	8675	
2011-06	5.88	8334	
2011-09	5.68	8613	
2011-12	4.87	8763	
2012-03	5.21	9192	
2012-06	4.74	13578	
2012-09	3.92	13540	
2012-12	3.5	13852	
2013-03	4.04	14161	
2013-06	4.2	14366	
2013-09	4.61	14901	
2013-12	4.56	15039	
2014-03	5.1	15152	
2014-06	5.43	16682	
2014-09	6.98	17742	
2014-12	7.25	18796	
2015-03	8.16	18104	
2015-06	12.39	16281	
2015-09	7.7	16523	
2015-12	9.68	19227	
2016-03	7.94	20622	
2016-06	9.26	21170	
2016-09	12.99	23913	
2016-12	11.44	21215	
2017-02	12.48	24020	
2017-03	13.41	26311	
2017-06	11.87	24244	
2017-09	15.83	26063	
2017-12	16.18	30094	
2018-03	17.97	28359	
2018-06	14.08	31858	
2018-09	16.39	35218	
2018-12	14.85	37092	
2019-03	19.01	36455	
2019-06	22.72	37060.5	
2019-09	43.56	23051	
2019-12	36.55	18324	
2020-03	48.65	22887	
2020-06	46.62	18886	
2020-09	38.8	12599	
2020-12	45.41	17170	
2021-03	39.45	15356	
2021-06	37.75	15711	
2021-09	37.94	14810	
2021-12	38.49	15932	
2022-03	28.79	15069	
2022-06	28.73	15409	
2022-09	25.26	15712	
2022-12	25.87	17129	
2023-03	31.79	20377	
2023-06	26.41	18000	
2023-09	27.21	20237	
2023-12	31.34	22466	
2024-03	31.61	23492	
2024-06	37.39	26389	
2024-09	32.02	24680	
