month	ct_avg_前复权价格	股东人数
2009-09	0.85	147587	
2009-12	0.9	130765	
2010-03	1.01	149328	
2010-06	0.62	147904	
2010-09	0.58	144334	
2010-12	0.59	132796	
2011-03	0.6	129503	
2011-06	0.54	128105	
2011-09	0.47	128979	
2011-12	0.42	125483	
2012-03	0.5	113749	
2012-06	0.54	106083	
2012-09	0.47	101968	
2012-12	0.5	97921	
2013-03	0.56	99535	
2013-06	0.49	106112	
2013-09	0.39	126409	
2013-12	0.36	132236	
2014-03	0.32	128129	
2014-06	0.32	122339	
2014-09	0.38	111049	
2014-12	1.08	141301	
2015-03	1.04	126997	
2015-06	1.32	111535	
2015-09	0.66	98094	
2015-12	0.97	97293	
2016-03	0.71	119408	
2016-06	0.69	104069	
2016-09	0.7	243	
2016-12	0.7	226	
2017-03	0.67	220	
2017-06	0.64	215	
2017-09	0.67	212	
2017-12	0.62	200	
2018-03	0.55	191	
2018-06	0.49	187	
2018-09	0.41	184	
2018-12	0.42	185	
2019-03	0.59	184	
2019-06	0.48	185	
2019-09	0.52	183	
2019-12	0.54	184	
2020-03	0.52	183	
2020-06	0.53	183	
2020-09	0.99	176	
2020-12	0.81	173	
2021-03	0.75	173	
2021-06	0.76	172	
2021-09	0.73	172	
2021-12	0.67	169	
2022-03	0.57	168	
2022-06	0.69	166	
2022-09	0.67	164	
2022-12	0.7	162	
2023-03	0.69	162	
2023-06	0.73	160	
2023-09	0.78	159	
2024-03	0.77	159	
2024-09	0.71	157	
