month	ct_avg_前复权价格	人均持股
2009-12	0.9	1772	
2010-03	0.85	2587	
2010-06	0.63	2762	
2010-09	0.63	2942	
2010-12	0.63	16320	
2011-03	0.59	16233	
2011-06	0.53	17104	
2011-09	0.48	22385	
2011-12	0.43	22877	
2012-03	0.49	23558	
2012-06	0.5	23521	
2012-09	0.41	23483	
2012-12	0.39	44010	
2013-03	0.55	37687	
2013-06	0.47	39780	
2013-09	0.49	41814	
2013-12	0.51	37134	
2014-03	0.42	35574	
2014-06	0.42	36807	
2014-09	0.46	40318	
2014-12	1.13	36129	
2015-03	1.19	41376	
2015-06	1.29	30950	
2015-09	0.7	39225	
2015-12	0.97	44470	
2016-03	0.74	41622	
2016-06	0.71	44652	
2016-09	0.77	42510	
2017-03	0.74	2513849	
2017-06	0.76	2566495	
2017-09	0.92	2671393	
2019-08	0.75	2961937	
2019-09	0.81	56484	
