month	ct_avg_前复权价格	人均持股
2019-06	1.51	500	
2019-07	3.91	1476.33	
2019-08	5.43	1953.33	
2019-09	6.86	1858.33	
2019-10	7.22	1700	
2019-11	8.24	1625	
2019-12	8.55	1605	
2020-01	8.43	1575	
2020-02	9.95	1665.67	
2020-03	9.85	1306.67	
2020-04	10.25	1212.67	
2020-05	12.13	1132.33	
2020-06	12.17	2340.33	
2020-07	15.81	2478	
2020-08	14.56	2231	
2020-09	13.26	2303.67	
2020-10	14.86	2789	
2020-11	18.64	3470.67	
2020-12	20.28	3949	
2021-01	23.18	3909	
2021-02	22.43	3896.67	
2021-03	21.16	4357.67	
2021-04	25.65	5624.5	
2021-05	25.22	5054	
2021-06	30	4759.67	
2021-07	28.93	3508.33	
2021-08	26.4	3336	
2021-09	22.6	3208.67	
2021-10	20.15	3070.33	
2021-11	20.62	2933.33	
2021-12	22.51	3449.33	
2022-01	18.76	3290	
2022-02	16.64	3142	
2022-03	15.03	3108.33	
2022-04	12.31	3319.67	
2022-05	12.16	3450.67	
2022-06	12.88	4630.33	
2022-07	11.69	5296.33	
2022-08	10.25	5283	
2022-09	9.93	5259.33	
2022-10	8.8	5367	
2022-11	11.32	5796.33	
2022-12	11.86	6176	
2023-01	13.04	6476.33	
2023-02	13.12	6403.33	
2023-03	12.45	6133	
2023-04	12.47	6218.67	
2023-05	9.8	6242.33	
2023-06	10.5	6765	
2023-07	11.71	7895	
2023-08	12.3	8484	
2023-09	12.62	8379.67	
2023-10	12.93	8420.33	
2023-11	14.49	8302.33	
2023-12	14.32	8950.5	
2024-01	11.87	8829.67	
2024-02	9.93	8520	
2024-03	11.16	8184.25	
2024-04	9.53	7605	
2024-05	9.08	6736	
2024-06	8.98	6241.75	
2024-07	7.76	6118.5	
2024-08	7.11	6375.33	
2024-09	6.73	6352	
2024-10	10.62	5007.5	
2024-11	9.99	5247	
2024-12	10.01	5542	
2025-01	8.33	5436	
