month	ct_avg_前复权价格	人均持股
2007-09	1.05	3924700	
2007-12	1.17	4055101	
2008-03	0.85	4065888	
2008-06	0.75	4127583	
2008-09	0.56	4136854	
2008-12	0.5	4015891	
2009-03	0.51	4022073	
2009-06	0.67	1063830	
2009-09	0.71	1081752	
2009-12	0.74	1104789	
2010-03	0.69	1105884	
2010-06	0.6	1214639	
2010-09	0.59	1095693	
2010-12	0.62	3220223	
2011-03	0.65	3601569	
2011-06	0.65	3728906	
2011-09	0.61	3877857	
2011-12	0.63	4381101	
2012-03	0.65	4439512	
2012-06	0.61	4440660	
2012-09	0.56	4486570	
2012-12	0.64	4517170	
2013-03	0.67	4560873	
2013-06	0.66	4572323	
2013-09	0.67	4590745	
2013-12	0.66	4625367	
2014-03	0.59	4632586	
2014-06	0.63	4647452	
2014-09	0.68	4682117	
2014-12	0.96	4710555	
2015-03	0.97	4754055	
2015-06	1.13	4962583	
2015-09	0.94	4973157	
2015-12	1.01	4982020	
2016-03	0.83	4956343	
2016-06	0.85	4956854	
2016-09	0.95	4990810	
2016-12	1.01	5016428	
2017-03	1.08	5060245	
2017-06	1.15	5083786	
2017-09	1.33	5145588	
2017-12	1.38	5267920	
2018-03	1.53	5522518	
2018-06	1.34	5544552	
2018-09	1.37	5554929	
2018-12	1.31	5570373	
2019-03	1.41	5600739	
2019-06	1.46	5612768	
2019-09	1.47	5641877	
2019-12	1.5	5657277	
2020-03	1.35	5684969	
2020-06	1.33	5727768	
2020-09	1.35	5814766	
2020-12	1.44	5856267	
2021-03	1.6	5924381	
2021-06	1.47	5962583	
2021-09	1.4	6004129	
2021-12	1.35	6032451	
2022-03	1.4	6056615	
2022-06	1.39	6077898	
2022-09	1.36	6105216	
2022-10	1.35	27943	
2022-11	1.32	28270	
2022-12	1.37	6118423	
2023-03	1.45	6144538	
2023-06	1.56	6166602	
2023-09	1.61	6209125	
2023-12	1.68	6230526	
2024-03	1.81	6252889	
2024-06	1.88	904688	
2024-09	2.03	6347484	
