month	ct_avg_前复权价格	股东人数
2017-03	1.68	34253	
2017-06	2.43	20188	
2017-09	2.41	23171	
2017-12	2.08	22999	
2018-03	2	20188	
2018-05	2.26	20679.5	
2018-06	2.06	20284	
2018-07	2.14	19822	
2018-08	1.96	20207.5	
2018-09	1.91	19277	
2018-10	1.97	19138	
2018-12	2.35	15779	
2019-01	2.44	15246	
2019-02	2.67	13635	
2019-03	3.11	13825	
2019-05	2.95	12878	
2019-06	3	13568	
2019-09	4.18	19476.5	
2019-10	4.47	18802	
2019-12	4.72	17780.67	
2020-02	6.23	19416.25	
2020-03	6.03	20647	
2020-06	6.21	24788	
2020-08	5.93	27458	
2020-09	5.8	27230	
2020-10	6.05	24640	
2020-11	6.62	20843.5	
2020-12	6.96	17695	
2021-01	7.58	19275.5	
2021-03	6.87	17809	
2021-05	7.39	16314.33	
2021-06	7.84	15415.67	
2021-07	8.84	13628.33	
2021-08	8.64	13479	
2021-09	8.06	13422.33	
2021-10	7.79	14144.5	
2021-11	7.7	14676.5	
2021-12	8.03	13612.5	
2022-01	8.11	13132.5	
2022-02	7.42	13704.67	
2022-03	7.66	11899.5	
2022-04	7.53	11900.67	
2022-05	7.21	13248	
2022-06	7.56	12948	
2022-07	7.36	12172	
2022-08	7.33	13426	
2022-09	6.75	13557	
2022-10	6.48	12902	
2022-11	6.69	13196.5	
2022-12	6.09	14908	
2023-02	6.51	16885	
2023-03	7.34	15154.5	
2023-04	6.57	19641	
2023-05	5.57	22723.67	
2023-06	5.17	27411.5	
2023-07	5.29	26351	
2023-09	5.24	24393	
2023-12	4.36	25630	
2024-01	3.89	25406	
2024-02	3.94	24765	
2024-03	3.97	26505	
2024-04	4.77	24408	
2024-05	5.43	21317	
2024-06	5.49	20861.25	
2024-07	5.35	20689	
2024-08	4.84	21216.67	
2024-09	5.17	21453.67	
2024-10	6.1	28516	
2024-11	5.9	35546	
2024-12	5.84	35058.5	
