month	ct_avg_前复权价格	股东人数
2004-03	0.95	34119	
2004-06	0.67	31008	
2004-09	0.61	26433	
2004-12	0.66	24429	
2005-03	0.64	23077	
2005-06	0.71	18572	
2005-09	0.83	17319	
2005-12	0.86	13568	
2006-03	1.25	13499	
2006-06	1.57	19384	
2006-09	1.6	18013	
2006-12	2.37	11125	
2007-03	3.75	7962	
2007-06	5.61	45107	
2007-09	5.4	67138	
2007-12	4.9	70332	
2008-03	8.43	65503	
2008-06	5.55	72350	
2008-09	3.32	70525	
2008-12	2.87	79074	
2009-03	3.47	68471	
2009-06	3.8	73914	
2009-09	3.41	69836	
2009-12	4.26	62128	
2010-03	4.7	58696	
2010-06	3.38	63680	
2010-09	3.77	56847	
2010-12	3.77	63904	
2011-03	3.88	62811	
2011-06	2.99	65710	
2011-09	2.85	70208	
2011-12	2.09	68399	
2012-03	2.24	67628	
2012-06	2.08	62331	
2012-09	2.26	54901	
2012-12	2.63	52414	
2013-03	2.35	60365	
2013-06	2.21	55460	
2013-09	2.45	51963	
2013-12	3.31	46913	
2014-03	3.65	43175	
2014-06	3.79	39871	
2014-09	4.11	40172	
2014-12	3.87	40319	
2015-03	4.45	34650	
2015-06	8.3	34103	
2015-09	4.35	32981	
2015-12	5.76	35392	
2016-03	5.74	32502	
2016-06	5.44	40531	
2016-09	5.15	42263	
2016-12	5.48	43487	
2017-03	5.31	44465	
2017-06	4.64	39348	
2017-09	7.41	41474	
2017-12	9.86	52290	
2018-03	8.81	54820	
2018-06	6.39	68587	
2018-09	5.56	67683	
2018-12	7.53	54919	
2019-03	10.37	50606	
2019-06	12.5	42405	
2019-09	12.51	51590	
2019-12	11.57	47955	
2020-03	12.34	123896	
2020-06	13.41	73220	
2020-09	21.88	95596	
2020-12	29.68	184897	
2021-03	30.38	355999	
2021-06	32.91	308147	
2021-09	47.53	278051	
2021-12	39.82	308719	
2022-03	38.88	282214	
2022-06	48.52	194754	
2022-09	46.67	305486	
2022-12	36.88	358703	
2023-03	35.83	421656	
2023-06	32.7	401676	
2023-09	30.79	375870	
2023-12	23.16	371036	
2024-03	25.99	353475	
2024-05	22.13	349531	
2024-06	21.27	339804	
2024-07	18.16	326129	
2024-08	19.1	318864	
2024-09	19.47	312390	
2024-10	24.54	299447	
2024-11	29.01	257716	
2024-12	25.05	262296	
2025-01	21.42	262623	
