month	ct_avg_前复权价格	人均持股
2015-12	0.86	5003	
2016-03	0.9	7035	
2016-06	0.81	6985	
2016-09	0.81	7153	
2016-12	0.76	51864	
2017-03	0.75	48401	
2017-05	0.65	248407	
2017-06	0.65	57963	
2017-09	0.62	59083	
2017-12	0.67	64322	
2018-03	0.6	54513	
2018-06	0.64	68121	
2018-09	0.62	72010	
2018-12	0.73	88732	
2019-03	1.09	86879	
2019-06	1.08	78653	
2019-09	1.1	68321	
2019-12	0.97	54588	
2020-03	0.94	49236	
2020-06	0.77	38897	
2020-09	0.77	30175	
2020-12	0.69	27760	
2021-03	0.64	29254	
2021-06	0.52	28362	
2021-09	0.5	30515	
2021-12	0.66	41057	
2022-03	0.77	56834	
2022-06	0.74	63279	
2022-09	0.81	66555	
2022-12	0.7	54428	
2023-03	0.71	66215	
2023-06	0.64	65745	
2023-09	0.64	65841	
2023-12	0.73	83368	
2024-03	0.71	84513	
2024-06	0.78	86614	
2024-09	0.63	71320	
