month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2012-03	0.73	-54.51	
2012-04	0.69	-76.05	
2012-05	0.71	-58.52	
2012-06	0.72	-32.05	
2012-07	0.67	-69.03	
2012-08	0.72	-43.83	
2012-09	0.73	6.47	
2012-10	0.68	-37.15	
2012-11	0.65	-70.7	
2012-12	0.62	-77.3	
2013-01	0.68	-54.96	
2013-02	0.68	-43.63	
2013-03	0.64	-68.2	
2013-04	0.6	-85.71	
2013-05	0.63	-71.43	
2013-06	0.59	-77.42	
2013-07	0.58	-86.96	
2013-08	0.61	-67.98	
2013-09	0.61	-54.75	
2013-10	0.62	-42.11	
2013-11	0.8	17.6	
2013-12	0.83	63.03	
2014-01	0.78	63.73	
2014-02	0.79	72.27	
2014-03	0.74	52.81	
2014-04	0.7	27.55	
2014-05	0.68	-5.13	
2014-06	0.71	-3.08	
2014-07	0.76	42.24	
2014-08	0.8	59.95	
2014-09	0.85	76.45	
2014-10	0.91	84.67	
2014-11	0.94	84.24	
2014-12	0.9	75.15	
2015-01	0.85	54.42	
2015-02	0.85	46.85	
2015-03	0.95	76.26	
2015-04	1.17	94.35	
2015-05	1.42	96.12	
2015-06	1.77	93.24	
2015-07	1.32	73.6	
2015-08	1.42	72.45	
2015-09	1.04	21.87	
2015-10	1.22	25.32	
2015-11	1.47	56.12	
2015-12	1.62	75.23	
2016-01	1.26	36.03	
2016-02	1.21	5	
2016-03	1.26	-6.21	
2016-04	1.46	44.11	
2016-05	1.47	48	
2016-06	3.42	83.08	
2016-07	4.71	94	
2016-08	4.2	83.93	
2016-09	4.5	82.23	
2016-10	5.39	96.54	
2016-11	5.35	88.76	
2016-12	4.64	63.72	
2017-01	4.33	41.96	
2017-02	4.82	44.49	
2017-03	6.47	83.81	
2017-04	5.53	73.86	
2017-05	5.53	75.04	
2017-06	5.51	69.2	
2017-07	5.34	45.2	
2017-08	5.32	25.7	
2017-09	5.56	52.25	
2017-10	6.07	76.36	
2017-11	5.94	71.39	
2017-12	5.4	20.49	
2018-01	5.39	4.63	
2018-02	5.07	-26.19	
2018-03	5.34	-26.14	
2018-04	5.13	-53.67	
2018-05	5.12	-58.44	
2018-06	4.92	-76.61	
2018-07	4.74	-84.62	
2018-08	4.48	-94.1	
2018-09	4.3	-91.87	
2018-10	4.24	-92.51	
2018-11	3.98	-98.25	
2018-12	3.67	-99.06	
2019-01	3.43	-98.42	
2019-02	3.76	-79.23	
2019-03	3.82	-67.77	
2019-04	3.75	-63.39	
2019-05	3.28	-90.22	
2019-06	3.3	-85.29	
2019-07	3.7	-48.72	
2019-08	4.03	-8.81	
2019-09	4.22	18.71	
2019-10	4.38	42.06	
2019-11	4.19	36.1	
2019-12	4.03	28.65	
2020-01	4.04	23.05	
2020-02	4.84	70.53	
2020-03	4.93	84.46	
2020-04	5.14	92.09	
2020-05	4.92	75.89	
2020-06	5.72	95.4	
2020-07	6.91	99.38	
2020-08	7.7	95.71	
2020-09	8.59	93.26	
2020-10	9.49	95.92	
2020-11	8.74	81.17	
2020-12	8.85	79.31	
2021-01	10.16	95.09	
2021-02	11.66	98.21	
2021-03	9.73	73.1	
2021-04	7.46	25.72	
2021-05	7.18	0.69	
2021-06	7.63	-11.05	
2021-07	6.85	-42.13	
2021-08	6.42	-62.78	
2021-09	6.85	-57.19	
2021-10	7.05	-45.87	
2021-11	6.89	-57.35	
2021-12	7.04	-46.23	
2022-01	7.24	-6.15	
2022-02	6.69	-40.96	
2022-03	5.47	-84.24	
2022-04	5.35	-88.58	
2022-05	5.38	-86.18	
2022-06	5.69	-69.09	
2022-07	5.75	-61.35	
2022-08	5.35	-79.85	
2022-09	5.24	-85.63	
2022-10	5.33	-73.88	
2022-11	5.57	-48.3	
2022-12	6.24	7.1	
2023-01	6.47	35.32	
2023-02	6.09	30.36	
2023-03	5.81	13.98	
2023-04	6.08	38.82	
2023-05	5.46	-3.17	
2023-06	5.24	-42.45	
2023-07	5.15	-57.87	
2023-08	5.08	-61.84	
2023-09	4.61	-80.58	
2023-10	4.38	-89.34	
2023-11	4.44	-84.29	
2023-12	4.4	-85.29	
2024-01	4.16	-96.63	
2024-02	4.09	-90.88	
2024-03	4.15	-83.55	
2024-04	3.85	-94.64	
2024-05	4.15	-70.45	
2024-06	4.05	-71.15	
2024-07	3.89	-87.81	
2024-08	3.83	-93.99	
2024-09	4.2	-46.66	
2024-10	4.76	11.76	
2024-11	4.94	44.51	
2024-12	4.67	39.29	
2025-01	4.52	36.51	
