month	ct_avg_前复权价格	人均持股
2003-09	1.02	2134	
2003-12	1.06	2184	
2004-03	1.12	2128	
2004-06	0.91	2351	
2004-09	0.75	2402	
2004-12	0.85	2660	
2005-03	0.78	2920	
2005-06	0.76	2951	
2005-09	0.85	2974	
2005-12	0.85	3428	
2006-03	1.36	5115	
2006-06	2.91	5838	
2006-09	2.81	4100	
2006-12	3	3711	
2007-03	4.83	7847	
2007-06	7.33	6572	
2007-09	20.77	3537	
2007-12	14.08	2710	
2008-03	15.44	2266	
2008-06	7.95	2110	
2008-09	4.39	1963	
2008-12	5.35	2426	
2009-03	8.23	2122	
2009-06	17.43	1734	
2009-09	19.29	1577	
2009-12	20.49	1715	
2010-03	16.85	1676	
2010-06	19.39	2324	
2010-09	21.97	2690	
2010-12	24.73	2489	
2011-03	22.91	4870	
2011-06	21.25	6228	
2011-09	20.37	6432	
2011-12	15.69	6401	
2012-03	17.73	6485	
2012-06	18.65	6972	
2012-09	19.85	10306	
2012-12	18.99	10103	
2013-03	17.93	9068	
2013-06	13.08	8962	
2013-09	12.53	8803	
2013-12	10.76	9057	
2014-03	10.15	9138	
2014-06	9.37	9402	
2014-09	10.55	9562	
2014-12	12.7	10368	
2015-03	14.78	10459	
2015-06	19.08	12377	
2015-09	10.92	12111	
2015-12	12.15	14246	
2016-03	13.59	14165	
2016-06	13.93	16536	
2016-09	16.65	13314	
2016-12	16.14	12332	
2017-03	15.89	13394	
2017-06	13.23	13358	
2017-09	14.68	14097	
2017-12	12.76	13815	
2018-03	11.84	13733	
2018-06	10.23	13751	
2018-09	8.91	13904	
2018-12	10.94	15135	
2019-03	11.53	15314	
2019-06	12	15645	
2019-09	12.49	15272	
2019-12	10.8	15580	
2020-03	10.71	15704	
2020-04	11.29	16807	
2020-06	11.82	16975	
2020-09	14.14	17742	
2020-12	12.08	17041	
2021-03	11.58	17402	
2021-06	12.08	21735	
2021-09	12.02	20545	
2021-12	11.23	19626	
2022-03	11.1	19985	
2022-06	10.05	19837	
2022-09	10.43	21634	
2022-12	11.1	23756	
2023-03	13.48	26902	
2023-06	15	30861	
2023-09	16.2	34300	
2023-12	14.59	31403	
2024-03	17	36620	
2024-06	20.88	38704	
2024-09	19.18	33367	
