month	ct_avg_前复权价格	人均持股
2004-09	0.77	1660	
2004-12	0.8	1730	
2005-03	0.82	2202	
2005-06	0.86	3094	
2005-09	1.16	3342	
2005-12	1.15	3674	
2006-03	1.11	4504	
2006-06	1.75	6439	
2006-09	1.43	5866	
2006-12	1.24	7523	
2007-03	1.68	6034	
2007-06	1.93	3892	
2007-09	1.94	3592	
2007-12	1.67	3784	
2008-03	1.78	4232	
2008-06	1.22	4520	
2008-09	0.78	4704	
2008-12	0.84	5219	
2009-03	1.05	5480	
2009-06	1.4	4817	
2009-09	1.29	4622	
2009-12	1.58	4941	
2010-03	1.66	5548	
2010-06	1.34	5299	
2010-09	1.58	5405	
2010-12	1.65	5614	
2011-03	1.66	5731	
2011-06	1.51	6133	
2011-09	1.3	6411	
2011-12	1.09	6353	
2012-03	1.09	6503	
2012-06	1.02	6493	
2012-09	0.95	6564	
2012-12	0.93	6493	
2013-03	1.02	6885	
2013-06	0.93	7097	
2013-09	1.52	6507	
2013-12	1.39	7115	
2014-03	1.69	5950	
2014-06	1.79	6177	
2014-09	2.08	8467	
2014-12	2.05	7484	
2015-03	2.83	5828	
2015-06	3.34	7466	
2015-09	5.81	5353	
2015-12	11.62	3357	
2016-03	7.26	4030	
2016-06	7.52	11526	
2016-09	7.24	12752	
2016-12	7.42	84181	
2017-03	5.76	32808	
2017-06	6.83	54150.5	
2017-09	6.98	104545	
2017-12	9.53	105276	
2018-03	10.08	82958	
2018-06	8.63	88344	
2018-09	6.87	51862	
2018-12	5.09	81192	
2019-03	5.8	59056	
2019-06	4.68	65396	
2019-09	4.82	73992	
2019-12	5.23	86189	
2020-03	4.2	73407	
2020-06	4.65	86266	
2020-09	6.7	104761	
2020-12	8.79	112528	
2021-03	9.09	73191	
2021-06	8.41	69928	
2021-09	6.58	50493	
2021-12	7.1	55616	
2022-03	6.02	51165	
2022-06	5.96	53219	
2022-09	5.21	49792	
2022-12	6.21	57609	
2023-03	6.36	57394	
2023-06	6.66	62421	
2023-09	7.44	70821	
2023-12	6.19	64628	
2024-03	6.49	67110	
2024-06	6.45	67798	
2024-09	6.12	69421	
