month	ct_avg_前复权价格	人均持股
2014-12	1.24	755.5	
2015-03	1.36	2572	
2015-06	2.21	4014	
2015-09	1.31	4770	
2015-12	1.7	18482	
2016-03	1.53	21292	
2016-06	1.66	38077	
2016-09	1.75	39164	
2016-12	1.55	33501	
2017-03	1.82	43383.5	
2017-04	2	47193	
2017-06	1.98	52365	
2017-08	2	43741	
2017-09	2.2	57353	
2017-12	1.97	72211	
2018-03	2.28	83707	
2018-06	2.29	86676	
2018-09	2.1	75177	
2018-12	1.67	68921	
2019-03	2.09	72719	
2019-06	1.81	72983	
2019-09	2.04	70623	
2019-12	2.12	84316	
2020-03	2.13	57655	
2020-06	2.24	60529	
2020-09	2.77	78905	
2020-12	3.49	54740	
2021-03	3.79	61761	
2021-06	3.89	68899	
2021-09	3.68	54238	
2021-12	4.51	69364	
2022-03	3.08	51674	
2022-06	3.02	49631	
2022-09	2.65	49933	
2022-12	3.11	68291	
2023-03	3.13	65080	
2023-06	3.02	66825	
2023-09	3.2	77861	
2023-12	2.95	74840	
2024-03	2.62	66669	
2024-06	3.03	77147	
2024-09	3.17	76726	
