month	ct_avg_前复权价格	人均持股
2002-12	0.92	3492	
2003-03	1.03	4225	
2003-06	1.07	4969	
2003-09	0.93	4912	
2003-12	0.91	4756	
2004-03	0.99	5099	
2004-06	0.96	8440	
2004-09	0.88	7347	
2004-12	0.88	5837	
2005-03	0.79	5176	
2005-06	0.58	5360	
2005-09	0.65	6405	
2005-12	0.54	6301	
2006-03	0.7	6129	
2006-06	0.95	5947	
2006-09	1.05	5044	
2006-12	1.06	4841	
2007-03	1.54	5934	
2007-06	2.01	4911	
2007-09	2.34	4765	
2007-12	1.99	4307	
2008-03	2.11	3478	
2008-06	1.28	3613	
2008-09	0.84	3549	
2008-12	0.8	4134	
2009-03	1.03	4534	
2009-06	1.22	4280	
2009-09	1.16	5113	
2009-12	1.58	7076	
2010-03	1.75	8121	
2010-06	1.39	8656	
2010-09	1.66	8899	
2010-12	1.81	8702	
2011-03	1.77	16105	
2011-06	1.4	15079	
2011-09	1.53	18676	
2011-12	1.54	19655	
2012-03	1.61	20779	
2012-06	1.68	21406	
2012-09	1.54	22164	
2012-12	1.58	23918	
2013-03	2.39	33390	
2013-06	2.51	34902	
2013-09	3.65	44541	
2013-12	3.97	36947	
2014-03	3.21	25786	
2014-06	2.93	25446	
2014-09	3	22000	
2014-12	3.02	22592	
2015-03	3.56	27911	
2015-06	4.21	21300	
2015-09	2.84	23794	
2015-12	2.87	23691	
2016-03	2.08	25157	
2016-06	2.3	26634	
2016-09	2.61	26480	
2016-12	2.46	26529	
2017-02	2.43	26889	
2017-03	2.43	26765	
2017-06	2.3	27370	
2017-09	2.45	27629	
2017-12	2.7	28329	
2018-03	2.49	25985	
2018-06	2.04	24230	
2018-09	1.77	24205	
2018-12	1.54	25058	
2019-02	1.69	25301	
2019-03	1.88	26210	
2019-06	2	27292	
2019-09	2.13	26502	
2019-12	2.24	30932	
2020-03	2.08	28086	
2020-06	2.94	27793	
2020-09	3.47	18481	
2020-12	3.13	16297	
2021-03	3.36	17608	
2021-06	3	13267	
2021-09	2.59	12240	
2021-12	2.83	13868	
2022-03	2.34	13952	
2022-06	2.34	14603	
2022-09	2.14	14297	
2022-12	2.14	13814	
2023-03	2.11	14842	
2023-06	2.16	17018	
2023-09	2.09	17461	
2023-12	1.78	16476	
2024-03	1.84	17303	
2024-06	1.65	17118	
2024-09	1.59	16764	
