month	ct_avg_前复权价格	股东人数
2000-12	1.02	108810	
2001-07	1.12	108810	
2001-12	0.81	153715	
2002-06	0.73	143628	
2002-09	0.75	141088	
2002-12	0.62	139405	
2003-03	0.64	133669	
2003-06	0.77	120734	
2003-09	0.66	118652	
2003-12	0.86	109378	
2004-03	1.05	75502	
2004-06	1.04	63306	
2004-09	1.14	49719	
2004-12	1.42	29587	
2005-03	1.42	28568	
2005-06	1.04	42177	
2005-09	1.03	42133	
2005-12	0.98	50727	
2006-03	1.22	64366	
2006-06	1.55	81901	
2006-09	1.33	90329	
2006-12	1.61	81993	
2007-03	2.72	97501	
2007-06	4.96	43695	
2007-09	11.6	45594	
2007-12	12.03	54625	
2008-03	8.02	87486	
2008-06	9.98	50020	
2008-09	4.73	86366	
2008-12	4.67	129361	
2009-03	6.19	162319	
2009-06	11.18	132339	
2009-09	13.26	159845	
2009-12	16.55	127461	
2010-03	13.6	190324	
2010-06	11.4	216621	
2010-09	11	263678	
2010-12	13.61	280140	
2011-03	14.57	251785	
2011-06	12.53	287484	
2011-09	11.4	290862	
2011-12	8.7	291628	
2012-03	8.94	288230	
2012-06	8.9	277096	
2012-09	7.17	281260	
2012-12	6.93	269641	
2013-03	6.75	276295	
2013-06	5.17	270865	
2013-09	4.68	268432	
2013-12	4.14	260940	
2014-03	2.95	253400	
2014-06	2.93	247585	
2014-09	3.43	242677	
2014-12	4.34	229801	
2015-03	4.45	219597	
2015-06	5.83	207513	
2015-09	3.09	180722	
2015-12	3.35	163942	
2016-03	4.37	172221	
2016-06	4.23	146164	
2016-09	5.31	147132	
2016-12	5.15	155293	
2017-03	5.18	141946	
2017-04	5.27	133507	
2017-06	4.45	147251	
2017-08	5.87	141307	
2017-09	6.26	157296.33	
2017-12	5.31	148801	
2018-03	4.82	155130	
2018-04	4.31	153960.5	
2018-05	4.42	153615	
2018-06	4.3	153048.67	
2018-07	3.77	151991.5	
2018-08	3.81	153475	
2018-09	3.6	151082.5	
2018-10	3.61	151215	
2018-11	3.55	152055	
2018-12	3.32	152212	
2019-01	3.06	152011.67	
2019-03	3.54	149724	
2019-06	3.51	140553	
2019-08	3.51	137341.5	
2019-09	3.56	136840.33	
2019-10	3.45	137114.67	
2019-11	3.35	136624	
2019-12	3.43	132894	
2020-03	2.96	129803	
2020-05	2.8	129746	
2020-06	2.87	129301	
2020-09	3.35	127461.5	
2020-10	3.78	135891	
2020-11	4.09	131815.33	
2020-12	4.38	132599	
2021-03	4.01	126185	
2021-06	6.3	122221	
2021-07	6.31	122589.5	
2021-08	7.23	120197	
2021-09	10.46	155366.67	
2021-10	8.25	175362.67	
2021-11	6.82	185159.67	
2021-12	6.72	186921.5	
2022-02	7.69	145855	
2022-03	9.18	126801.5	
2022-04	10.42	113370.67	
2022-05	10.39	123359	
2022-06	11.26	147216	
2022-07	10.18	157893	
2022-09	11.81	121819	
2022-10	11.07	147654	
2022-11	10.36	140635	
2022-12	10.5	143844.5	
2023-03	9.8	159204	
2023-05	8.79	161809	
2023-06	8.58	155895	
2023-08	8.09	169402	
2023-09	9.39	137274.5	
2023-10	8.99	140200	
2023-11	8.69	140403	
2023-12	9.5	120950	
2024-01	9.97	111548	
2024-02	10.79	103067	
2024-03	10.43	115234	
2024-04	10.28	109523.5	
2024-05	10.53	103497.67	
2024-06	10.29	101462	
2024-07	9.17	107611.67	
2024-08	8.28	112896	
2024-09	8.08	115885	
2024-10	8.98	126629	
2024-11	8.72	142688	
