month	ct_avg_前复权价格	人均持股
2000-06	0.92	1750	
2000-12	1	2370	
2001-06	1.08	3285	
2001-12	1.1	4573	
2002-06	1.39	6689	
2002-09	1.34	11733	
2002-12	1.15	12086	
2003-03	1.11	13572	
2003-06	0.99	12384	
2003-09	0.88	13911	
2003-12	0.78	13232	
2004-03	0.78	12837	
2004-06	0.71	14002	
2004-09	0.65	12273	
2004-12	0.46	9305	
2005-03	0.47	10584	
2005-06	0.47	11074	
2005-09	0.51	9021	
2005-12	0.46	8413	
2006-03	0.49	7786	
2006-06	0.75	7210	
2006-09	0.76	7403	
2006-12	0.72	7766	
2007-03	1.13	7822	
2007-06	2.03	8396	
2007-09	2.27	4251	
2007-12	2.22	8301	
2008-03	2.4	13606	
2008-06	1.98	12326	
2008-09	1.38	13716	
2008-12	1.47	15482	
2009-03	1.81	10784	
2009-06	1.86	15255	
2009-09	2.2	20276	
2009-12	2.75	22969	
2010-03	3.25	31200	
2010-06	3.87	36073	
2010-09	4.27	46758	
2010-12	5.02	35720	
2011-03	4.46	25784	
2011-06	3.69	27905	
2011-09	4.1	33858	
2011-12	4.26	41235	
2012-03	3.9	39016	
2012-06	4.47	46073	
2012-09	5.3	56145	
2012-12	5.08	53783	
2013-03	6.5	48042	
2013-06	6.29	50797	
2013-09	6.51	51365	
2013-12	6.65	60606	
2014-03	6.7	49918	
2014-06	7.75	59309	
2014-09	9.12	92271	
2014-12	8.24	62998	
2015-03	9.28	36813	
2015-06	11.72	38290	
2015-09	11.2	50590	
2015-12	12.7	49875	
2016-03	10.96	39669	
2016-06	10.52	39921	
2016-09	10.89	35917	
2016-12	11.55	39811	
2017-02	12.35	41497	
2017-03	13.6	32081	
2017-06	15.9	39179	
2017-09	15.49	38311	
2017-12	16.61	32549	
2018-03	20.44	38899	
2018-06	24.11	39419	
2018-09	20.67	35497	
2018-12	14.32	22692	
2019-03	15.97	22768	
2019-06	14.46	20758	
2019-09	16.89	17216	
2019-12	14.14	14370	
2020-03	11.08	13705	
2020-06	14.08	13247	
2020-09	15.38	12784	
2020-12	17.43	13466	
2021-03	22.7	10393	
2021-06	28.14	9010	
2021-09	18.68	8941	
2021-12	22.38	11221	
2022-03	21.08	13256	
2022-06	25.5	18212	
2022-09	25.17	20876	
2022-12	27.28	23188	
2023-03	27.97	24263	
2023-06	25.53	23525	
2023-09	24.72	21560	
2023-12	24.76	22695	
2024-03	20.15	18660	
2024-06	19.21	17811	
2024-09	18.46	19057	
