month	ct_avg_前复权价格	股东人数
2000-06	0.92	28567	
2000-12	1	21096	
2001-06	1.08	15222	
2001-12	1.1	10934	
2002-06	1.39	7475	
2002-09	1.34	8523	
2002-12	1.15	8274	
2003-03	1.11	9310	
2003-06	0.99	10203	
2003-09	0.88	9083	
2003-12	0.78	9549	
2004-03	0.78	9843	
2004-06	0.71	9024	
2004-09	0.65	10295	
2004-12	0.46	13579	
2005-03	0.47	11938	
2005-06	0.47	11410	
2005-09	0.51	14007	
2005-12	0.46	15019	
2006-03	0.49	16229	
2006-06	0.75	17525	
2006-09	0.76	17068	
2006-12	0.72	23226	
2007-03	1.13	23059	
2007-06	2.03	21483	
2007-09	2.27	42425	
2007-12	2.22	27069	
2008-03	2.4	16514	
2008-06	1.98	18229	
2008-09	1.38	16382	
2008-12	1.47	14513	
2009-03	1.81	22849	
2009-06	1.86	16152	
2009-09	2.2	12152	
2009-12	2.75	10728	
2010-03	3.25	7898	
2010-06	3.87	6831	
2010-09	4.27	5987	
2010-12	5.02	7837	
2011-03	4.46	10857	
2011-06	3.69	10032	
2011-09	4.1	8268	
2011-12	4.26	6789	
2012-03	3.9	7175	
2012-06	4.47	6076	
2012-09	5.3	4986	
2012-12	5.08	5205	
2013-03	6.5	5827	
2013-06	6.29	5511	
2013-09	6.51	5450	
2013-12	6.65	4619	
2014-03	6.7	5608	
2014-06	7.75	4720	
2014-09	9.12	4704	
2014-12	8.24	6890	
2015-03	9.28	11791	
2015-06	11.72	11336	
2015-09	11.2	8580	
2015-12	12.7	8703	
2016-03	10.96	10942	
2016-06	10.52	10873	
2016-09	10.89	12085	
2016-12	11.55	10903	
2017-02	12.35	10460	
2017-03	13.6	13530	
2017-06	15.9	22158	
2017-09	15.49	22660	
2017-12	16.61	26671	
2018-03	20.44	22317	
2018-06	24.11	33034	
2018-09	20.67	36684	
2018-12	14.32	57384	
2019-03	15.97	64045	
2019-06	14.46	84296	
2019-09	16.89	101640	
2019-12	14.14	121768	
2020-03	11.08	127673	
2020-06	14.08	132086	
2020-09	15.38	136875	
2020-12	17.43	129940	
2021-03	22.7	168355	
2021-06	28.14	194208	
2021-09	18.68	195693	
2021-12	22.38	155939	
2022-03	21.08	131993	
2022-06	25.5	96073	
2022-09	25.17	83815	
2022-12	27.28	75458	
2023-03	27.97	72114	
2023-06	25.53	74378	
2023-09	24.72	81155	
2023-12	24.76	77151	
2024-03	20.15	93834	
2024-06	19.21	98302	
2024-09	18.46	91879	
