month	ct_avg_前复权价格	人均持股
2007-06	0.88	436819	
2007-12	1.1	475811	
2008-03	0.79	480800	
2008-06	0.6	487055	
2008-09	0.48	488664	
2008-12	0.37	482258	
2009-03	0.44	482329	
2009-06	0.65	486325	
2009-09	0.68	494755	
2009-12	0.68	500607	
2010-03	0.64	495371	
2010-06	0.51	436885	
2010-09	0.49	587832	
2010-12	0.47	596115	
2011-03	0.47	599023	
2011-06	0.47	600474	
2011-09	0.43	662712	
2012-03	0.45	668834	
2012-06	0.43	670556	
2012-09	0.4	806911	
2013-03	0.46	819432	
2013-06	0.42	822106	
2013-09	0.43	827586	
2013-12	0.41	832902	
2014-03	0.38	836124	
2014-06	0.39	838587	
2014-09	0.47	849081	
2014-12	0.65	857398	
2015-03	0.67	866952	
2015-06	0.91	896866	
2015-09	0.7	907984	
2015-12	0.73	910937	
2016-03	0.61	912813	
2016-06	0.62	915798	
2016-09	0.65	921268	
2016-12	0.68	925677	
2017-03	0.72	932928	
2017-06	0.71	940496	
2017-09	0.78	952108	
2017-12	0.77	963665	
2018-03	0.78	985833	
2018-06	0.73	989763	
2018-09	0.72	996439	
2018-12	0.74	1000682	
2019-03	0.82	1006811	
2019-06	0.79	1012255	
2019-09	0.75	1018883	
2019-12	0.75	1024428	
2020-03	0.7	1029821	
2020-06	0.69	1032737	
2020-09	0.66	1051913	
2020-12	0.65	1060002	
2021-03	0.67	1071945	
2021-06	0.7	1077786	
2021-09	0.69	1089897	
2021-12	0.7	1097000	
2022-03	0.75	1102458	
2022-06	0.76	1106745	
2022-09	0.76	1117661	
2022-12	0.78	1122175	
2023-03	0.84	1129852	
2023-06	0.96	1137118	
2023-09	1	1146126	
2023-12	1.02	1152388	
2024-03	1.11	1159141	
2024-06	1.27	1169909	
2024-09	1.27	1180202	
