month	ct_avg_前复权价格	人均持股
1996-12	1.32	1150	
1997-12	1.47	609	
1998-12	1.52	1205	
1999-12	1.39	1094	
2000-12	1.48	1344	
2001-12	1.44	2438	
2002-06	1.29	2316	
2002-09	1.34	2339	
2002-12	1.26	2365	
2003-03	1.35	2419	
2003-06	1.37	2324	
2003-09	1.28	2409	
2003-12	1.41	2502	
2004-03	1.66	2656	
2004-06	1.74	3307	
2004-09	1.82	4314	
2004-12	1.71	4519	
2005-03	1.58	4434	
2005-06	1.69	4865	
2005-09	1.86	5178	
2005-12	1.71	5296	
2006-03	2.27	7471	
2006-06	2.72	5904	
2006-09	2.73	7120	
2006-12	3.87	9958	
2007-03	5.65	12339	
2007-06	11.71	17217	
2007-09	15.06	20266	
2007-12	14.78	22429	
2008-03	15.98	28730	
2008-06	11.72	23478	
2008-09	8.27	31701	
2008-12	9.93	36275	
2009-03	12.15	53682	
2009-06	15.15	36289	
2009-09	16.73	36904	
2009-12	21.51	44399	
2010-03	20.85	37108	
2010-06	15.98	16387	
2010-09	17.46	18720	
2010-12	21.44	20373	
2011-03	26.57	34423	
2011-06	26.79	37581	
2011-09	24.07	32806	
2011-12	20.7	31050	
2012-03	25.21	37212	
2012-06	26.24	41801	
2012-09	25.98	46017	
2012-12	30.07	50984	
2013-03	35.01	51446	
2013-06	31.24	41659	
2013-09	34.15	45918	
2013-12	41.78	50769	
2014-03	35.54	30961	
2014-06	39.87	38524	
2014-09	39.2	30264	
2014-12	49.31	42007	
2015-03	55.95	26587	
2015-06	82.28	9799	
2015-09	48.46	15687	
2015-12	62.38	16953	
2016-03	55.38	16977	
2016-06	55.38	16991	
2016-09	67.28	17567	
2016-12	79.27	15041	
2017-03	91.31	18989	
2017-06	115.9	16134	
2017-09	123.01	16423	
2017-12	140.91	16704	
2018-03	165.5	13717	
2018-06	155.56	12979	
2018-09	122.66	11932	
2018-12	118.71	10825	
2019-03	151.34	13630	
2019-06	173.94	14971	
2019-09	197.42	17902	
2019-12	214.06	19369	
2020-03	188.34	12030	
2020-06	200.53	10779	
2020-09	189.19	9546	
2020-12	220.97	12437	
2021-03	211.1	12739	
2021-06	188.79	8351	
2021-09	148.63	6721	
2021-12	135.26	6182	
2022-03	124.04	6332	
2022-06	124.77	6295	
2022-09	138.14	7331	
2022-12	134.78	7518	
2023-03	155.52	8462	
2023-06	150.96	8956	
2023-09	158.14	9756	
2023-12	140.88	9095	
2024-03	170.23	11004	
2024-06	175.39	11568	
2024-09	189.15	13275	
