month	ct_avg_前复权价格	人均持股
2012-06	0.86	3047	
2012-09	0.61	4007	
2012-12	0.6	4085	
2013-03	0.74	4147	
2013-06	0.86	9504	
2013-09	1.37	23900	
2013-12	1.43	22905	
2014-03	1.2	19739	
2014-06	1.32	22856	
2014-09	1.9	23986	
2014-12	1.62	9741	
2015-03	3.52	5606	
2015-06	5.25	9927	
2015-09	2.55	10974	
2015-12	3.84	11206	
2016-03	3.25	13111	
2016-06	3.52	15189	
2016-09	3.95	15432	
2016-12	3.69	15235	
2017-02	3.98	17004	
2017-03	4.25	18717	
2017-06	4.42	21695	
2017-09	7.22	36342	
2017-12	9.89	28802	
2018-03	9.9	29353	
2018-06	6.67	35304	
2018-09	5.16	34513	
2018-12	7.2	42988	
2019-03	10.45	38403	
2019-06	11.03	57356	
2019-09	13.44	48090	
2019-12	12.08	39894	
2020-03	12.98	32059	
2020-06	16.58	40200	
2020-09	34.19	23852	
2020-12	39.14	13450	
2021-03	43.05	7773	
2021-06	52.5	10213	
2021-09	57.18	8558	
2021-12	57.02	9375	
2022-03	54.03	9954	
2022-06	59.24	16025	
2022-09	48.65	12722	
2022-12	42.9	10845	
2023-03	40.04	9938.5	
2023-04	37.28	9313	
2023-05	31.52	9193	
2023-06	27.53	8616	
2023-07	28.58	8005.6	
2023-08	27.59	7785.67	
2023-09	26.03	7863.67	
2023-10	25.14	7975	
2023-11	22.58	7761	
2023-12	20.53	7731	
2024-01	21.3	7588	
2024-03	20.56	7898	
2024-05	18.33	7914	
2024-06	15.93	8236.5	
2024-08	13.58	8577	
2024-09	13.63	8515	
2024-11	18.7	8572	
2024-12	16.88	9236	
2025-01	14.86	9495	
