month	ct_avg_前复权价格	股东人数
2003-03	1.32	79883	
2003-06	1.6	94166	
2003-09	1.55	86130	
2003-12	1.5	89412	
2004-03	1.89	67389	
2004-06	1.46	71761	
2004-09	1.39	73775	
2004-12	1.27	75013	
2005-03	1.02	68511	
2005-06	1.15	78210	
2005-09	1.41	76388	
2005-12	1.4	65782	
2006-03	1.81	42585	
2006-06	4.08	45735	
2006-09	3.84	49894	
2006-12	6.53	40845	
2007-03	11.25	56996	
2007-06	16.4	122417	
2007-09	24.35	128402	
2007-12	24.13	239911	
2008-03	16.24	463448	
2008-06	16.04	654883	
2008-09	10.87	596204	
2008-12	11.56	614044	
2009-03	12.86	494745	
2009-06	15.86	567622	
2009-09	15.12	719989	
2009-12	17.14	629867	
2010-03	15.88	772534	
2010-06	11.4	789349	
2010-09	9.93	816334	
2010-12	11.52	861685	
2011-03	12.65	823944	
2011-06	11.26	789011	
2011-09	10.96	759151	
2011-12	9.51	140	
2012-03	10.98	136	
2012-06	12	135	
2012-09	10.5	132	
2012-12	10.92	132	
2013-03	12.67	128	
2013-06	10.71	126	
2013-09	11.95	128	
2013-12	12.45	122	
2014-03	10.19	117	
2014-06	11.11	119	
2014-09	13.07	119	
2014-12	27.28	116	
2015-06	30.19	136	
2015-09	14.27	147	
2015-12	19.09	154	
2016-06	16.11	167	
2016-09	16.92	166	
2016-12	16.94	164	
2017-06	17.18	520658	
2017-09	19.04	500350	
2017-12	19.4	162	
2018-03	19.41	152	
2018-06	18.65	155	
2018-09	17.32	544373	
2018-12	18.04	164	
2019-03	26.31	162	
2019-06	23.44	161	
2019-09	25.78	161	
2019-12	25.33	161	
2020-06	25.5	165	
2020-09	34	157	
2020-12	32.5	157	
2021-02	30.92	677974	
2021-03	26.96	164	
2021-06	28.02	169	
2021-09	29.87	168	
2021-12	29.46	169	
2022-06	25.08	163	
2022-09	23.17	161	
2022-12	24.92	159	
2023-03	25.16	160	
2023-06	24.62	158	
2023-09	27.97	157	
2023-12	26.03	157	
2024-03	26.01	157	
2024-06	23.25	554455	
2024-09	26.1	159	
