month	ct_avg_前复权价格	人均持股
2012-04	0.92	500	
2012-06	0.87	1772	
2012-09	0.74	2443	
2012-12	0.67	2281	
2013-03	0.75	2624	
2013-06	0.75	5142	
2013-09	0.8	5578	
2013-12	0.92	6117	
2014-03	1.26	9298	
2014-06	1.15	9852	
2014-09	1.35	9613	
2014-12	1.6	9321	
2015-03	1.88	12377	
2015-06	4.13	32308	
2015-09	1.61	27281	
2015-12	3.03	33253	
2016-03	1.9	28211	
2016-06	1.87	28067	
2016-09	1.88	28159	
2016-12	3.57	19183	
2017-03	5.16	35937	
2017-06	5.59	43803	
2017-09	6.48	36600	
2017-12	8.04	41667	
2018-03	11.36	35068	
2018-06	9.82	29210	
2018-09	6.54	12919	
2018-12	6.51	11778	
2019-03	8.73	12445	
2019-06	7	17109	
2019-09	9.39	16369	
2019-12	10.26	19407	
2020-03	12.54	16917	
2020-06	12.84	17336	
2020-09	11.34	23294	
2020-12	11.02	22726	
2021-03	8.28	20012	
2021-06	8.4	22214	
2021-09	7.53	21496	
2021-12	8.67	24883	
2022-03	7.32	24886	
2022-06	6.94	23912	
2022-09	5.99	19607	
2022-12	5.98	20728	
2023-03	8.87	18205	
2023-06	28.55	10004	
2023-09	22.95	10538	
2023-12	23.67	11207	
2024-03	35.92	10265	
2024-06	40.14	16171	
2024-09	34.33	14064	
