month	ct_avg_前复权价格	股东人数
2010-03	0.82	33738	
2010-06	0.67	32683	
2010-09	0.74	26588	
2010-12	0.82	22796	
2011-03	0.73	24629	
2011-06	0.62	25959	
2011-09	0.59	24130	
2011-12	0.47	25214	
2012-03	0.57	23865	
2012-06	0.59	22569	
2012-09	0.56	22064	
2012-12	0.65	21141	
2013-03	0.74	18607	
2013-06	0.8	15953	
2013-09	0.87	14402	
2013-12	0.98	13516	
2014-03	1.03	13637	
2014-06	0.88	13335	
2014-09	1.05	13124	
2014-12	1.3	12064	
2015-03	1.5	13691	
2015-06	1.68	22212	
2015-09	1.68	22164	
2015-12	1.43	42096	
2016-03	1.05	40637	
2016-06	1.06	36803	
2016-09	1.27	44345	
2016-12	1.21	39805	
2017-03	1.15	40242	
2017-06	1.11	35628	
2017-09	1.19	30310	
2017-12	1.45	30128	
2018-03	1.45	32322	
2018-06	1.36	28738	
2018-09	1.32	25788	
2018-12	1.42	26438	
2019-03	1.58	29636	
2019-06	1.41	30299	
2019-09	1.41	36378	
2019-12	1.56	30033	
2020-03	1.54	41023	
2020-06	1.58	35361	
2020-09	1.95	31852	
2020-12	2.19	40817	
2021-03	2.23	49293	
2021-06	1.96	51776	
2021-09	3.54	71730	
2021-12	3.31	68693	
2022-03	2.82	68223	
2022-06	2.3	88362	
2022-09	1.85	120168	
2022-12	1.82	106289	
2023-03	1.82	110663	
2023-06	1.73	112023	
2023-09	1.57	112462	
2023-12	1.38	109746	
2024-03	1.37	105025	
2024-06	1.33	103541	
2024-09	1.29	100550	
