month	ct_avg_前复权价格	人均持股
2014-03	1.53	3024	
2014-06	1.58	4112	
2014-09	1.68	4216	
2014-12	1.76	4298	
2015-03	2.48	5195	
2015-06	4.81	5222	
2015-09	2.08	4675	
2015-12	3.45	4086	
2016-03	2.49	4860	
2016-06	2.61	6287	
2016-09	2.6	5821	
2016-12	2.42	5794	
2017-03	2.03	8725	
2017-04	1.75	9019.5	
2017-06	1.62	15955	
2017-07	1.39	16267	
2017-08	1.41	14551	
2017-09	1.51	14884.5	
2017-12	1.25	14517	
2018-02	1.45	15743	
2018-03	1.74	18625	
2018-04	1.85	20728	
2018-05	1.7	21410.5	
2018-06	1.45	21859	
2018-07	1.41	22107.67	
2018-08	1.26	21617	
2018-09	1.32	21117.33	
2018-10	1.14	21961.5	
2018-11	1.23	22814.67	
2018-12	1.21	23231.33	
2019-01	1.25	25131.67	
2019-02	1.52	31019	
2019-03	1.77	31723.67	
2019-04	1.9	34887.67	
2019-05	1.75	35467.33	
2019-06	1.74	34631	
2019-07	2	38599	
2019-08	2.2	38056	
2019-09	2.48	36208	
2019-11	2.59	38765	
2019-12	2.54	39280	
2020-03	3.02	39617	
2020-06	2.9	41769	
2020-09	2.9	32902	
2020-12	2.19	31374	
2021-03	2.25	32133	
2021-06	2.28	31099	
2021-09	2.56	26088	
2021-12	2.33	26328	
2022-03	1.8	20835	
2022-06	1.46	20374	
2022-09	1.26	21556	
2022-12	1.45	23271	
2023-03	1.84	21339	
2023-06	1.9	14038	
2023-09	1.4	15107	
2023-12	1.36	15264	
2024-03	1.05	18190	
2024-06	0.76	19408	
2024-09	0.81	16656	
