month	ct_avg_前复权价格	股东人数
1994-12	1.31	90000	
1995-12	1.03	180000	
1996-12	5.38	330500	
1997-12	10.93	833471	
1998-06	8.66	918331	
1998-12	7.04	914578	
1999-12	8.8	705443	
2000-06	8.67	764125	
2000-12	8.09	810000	
2001-12	6.88	778568	
2002-03	6.13	257057	
2002-06	6.56	688556	
2002-09	8.02	642229	
2002-12	6.13	676511	
2003-03	6.08	680420	
2003-06	6.46	695975	
2003-09	5.36	704157	
2003-12	4.82	702461	
2004-03	6	673023	
2004-06	5.08	676630	
2004-09	4.6	672188	
2004-12	3.82	666196	
2005-03	3.27	658855	
2005-06	3.47	645701	
2005-09	3.4	630989	
2005-12	3.33	621312	
2006-03	3.54	602998	
2006-06	4.32	543504	
2006-09	4.18	510668	
2006-12	7.45	406233	
2007-03	10.42	295644	
2007-06	17.48	272155	
2007-09	22.65	184500	
2007-12	23.11	250426	
2008-03	17.03	269468	
2008-06	13.58	264706	
2008-09	9.93	248859	
2008-12	8.04	295216	
2009-03	12.2	248697	
2009-06	16.67	243962	
2009-09	16.39	260240	
2009-12	19.33	230571	
2010-03	18.43	252420	
2010-06	14.04	295260	
2010-09	13.64	339544	
2010-12	13.02	352655	
2011-03	12.92	341316	
2011-06	13.23	285442	
2011-09	13.18	274203	
2011-12	12.44	272946	
2012-03	13.13	275669	
2012-06	11.99	283377	
2012-09	10.79	281497	
2012-12	11.73	263477	
2013-03	17.95	256985	
2013-06	14.88	281819	
2013-09	15.74	291054	
2013-12	16.37	298070	
2014-03	13.75	319109	
2014-06	15.37	298305	
2014-09	16.27	311571	
2014-12	22.75	275838	
2015-03	23.22	313029	
2015-06	29.87	418294	
2015-09	20.78	358049	
2015-12	23.21	332918	
2016-03	19.85	341525	
2016-06	20.05	340528	
2016-09	21.44	340324	
2016-12	21.66	350142	
2017-02	21.93	349253	
2017-03	21.69	371177	
2017-06	21.38	379179	
2017-09	26.76	331474	
2017-12	31.15	343994	
2018-03	27.56	421677	
2018-06	23.27	435978	
2018-09	24.49	406242	
2018-12	23.93	429409	
2019-03	30.17	354508	
2019-06	30.88	321929	
2019-09	36.09	299958	
2019-12	38.84	322864	
2020-01	40.21	340920	
2020-03	33.26	397399	
2020-06	32.3	431036	
2020-09	37.7	351374	
2020-12	46.39	308724	
2021-03	52.95	331829	
2021-06	58.16	296828	
2021-09	46.2	390490	
2021-12	43.75	502716	
2022-03	36.89	508679	
2022-06	35.57	493029	
2022-09	31.38	547735	
2022-12	33.2	487200	
2023-03	33.12	506867	
2023-06	29.69	536701	
2023-09	29.18	530229	
2023-12	24.07	573282	
2024-03	27.05	567902	
2024-06	28.1	546413	
2024-09	28.37	517695	
