month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
1993-03	2.33	85.27	
1993-04	2.39	93.75	
1993-05	2.24	72.71	
1993-06	2.14	50.61	
1993-07	1.81	11.2	
1993-08	1.91	-2.48	
1993-09	1.75	-32.44	
1993-10	1.69	-44.95	
1993-11	1.73	-40.1	
1993-12	1.7	-60.6	
1994-01	1.6	-83.42	
1994-02	1.44	-92.02	
1994-03	1.27	-96.35	
1994-04	1.03	-97.96	
1994-05	1.26	-81	
1994-06	1.07	-93.42	
1994-07	1.03	-93.37	
1994-08	1.41	-39.75	
1994-09	1.97	18.95	
1994-10	1.45	14.15	
1994-11	1.4	-0.37	
1994-12	1.31	-28.29	
1995-01	1.3	-41.35	
1995-02	1.31	-44.94	
1995-03	1.33	-32.1	
1995-04	1.3	-45.71	
1995-05	1.22	-62.54	
1995-06	1.17	-76.79	
1995-07	1.12	-86.52	
1995-08	1.21	-67.39	
1995-09	1.21	-58.97	
1995-10	1.16	-74.6	
1995-11	1.11	-90.5	
1995-12	1.03	-95.28	
1996-01	0.94	-97.4	
1996-02	0.98	-86.16	
1996-03	1.2	-36.43	
1996-04	1.53	11.53	
1996-05	2.63	77.92	
1996-06	4.5	99.24	
1996-07	4.86	96.31	
1996-08	5.06	93.71	
1996-09	4.67	75.71	
1996-10	5.06	87.97	
1996-11	5.47	94.34	
1996-12	5.38	84.46	
1997-01	5.27	70.21	
1997-02	5.8	93.21	
1997-03	6.91	97.02	
1997-04	9.19	98.62	
1997-05	12.32	94.02	
1997-06	10.32	80.71	
1997-07	10.66	82.35	
1997-08	9.99	61.31	
1997-09	10.02	54.59	
1997-10	10.96	58.04	
1997-11	11.57	83.79	
1997-12	10.93	70.61	
1998-01	10.51	41.01	
1998-02	10.51	21.85	
1998-03	9.88	-2.8	
1998-04	9.89	-18.99	
1998-05	9.38	-51.92	
1998-06	8.66	-66.72	
1998-07	7.76	-79.62	
1998-08	7.49	-85.54	
1998-09	7.29	-89.94	
1998-10	6.91	-94.6	
1998-11	7.28	-78.1	
1998-12	7.04	-83.7	
1999-01	6.75	-94.69	
1999-02	6.39	-98.34	
1999-03	6.36	-94.76	
1999-04	6.34	-90.87	
1999-05	6.37	-89.29	
1999-06	10.34	9.05	
1999-07	10.39	53.13	
1999-08	10.52	71.92	
1999-09	11.06	84.05	
1999-10	10.24	65.07	
1999-11	10.09	50.24	
1999-12	8.8	17.13	
2000-01	8.63	-6.39	
2000-02	8.86	-5.11	
2000-03	8.8	-10.99	
2000-04	8.92	-12.95	
2000-05	8.55	-36.36	
2000-06	8.67	-43.83	
2000-07	8.5	-63.82	
2000-08	8.63	-49.88	
2000-09	8.01	-80.66	
2000-10	8.16	-78.67	
2000-11	8.47	-53.13	
2000-12	8.09	-77.59	
2001-01	7.86	-91.01	
2001-02	7.72	-93.85	
2001-03	8.71	-36.04	
2001-04	8.81	9.65	
2001-05	8.49	3.62	
2001-06	8.48	13.65	
2001-07	8.16	-23.9	
2001-08	7.15	-69.95	
2001-09	6.84	-86.96	
2001-10	7.13	-79.91	
2001-11	7.24	-71.1	
2001-12	6.88	-81.63	
2002-01	5.81	-97.5	
2002-02	5.66	-93.48	
2002-03	6.13	-81.38	
2002-04	5.9	-85.67	
2002-05	6.09	-71.58	
2002-06	6.56	-48.84	
2002-07	8	15.53	
2002-08	8.27	45.01	
2002-09	8.02	47.81	
2002-10	7.18	23.56	
2002-11	6.88	6.89	
2002-12	6.13	-35.23	
2003-01	5.99	-44.87	
2003-02	6.12	-50.36	
2003-03	6.08	-56.34	
2003-04	6.8	-20.09	
2003-05	6.84	-8.15	
2003-06	6.46	-31.89	
2003-07	6	-64.36	
2003-08	5.85	-73.22	
2003-09	5.36	-86.65	
2003-10	4.96	-93.7	
2003-11	4.51	-96.12	
2003-12	4.82	-79.62	
2004-01	5.1	-65.66	
2004-02	5.8	-28.8	
2004-03	6	2.91	
2004-04	5.48	-10.15	
2004-05	5.1	-49.83	
2004-06	5.08	-54.06	
2004-07	4.66	-73.38	
2004-08	4.49	-81.41	
2004-09	4.6	-71.67	
2004-10	4.19	-79.63	
2004-11	3.96	-84.7	
2004-12	3.82	-94.14	
2005-01	3.54	-97.19	
2005-02	3.64	-87.98	
2005-03	3.27	-96.97	
2005-04	3.46	-81.29	
2005-05	3.4	-82.93	
2005-06	3.47	-66.23	
2005-07	3.22	-86.14	
2005-08	3.41	-64.91	
2005-09	3.4	-45.58	
2005-10	3.25	-77.96	
2005-11	3.17	-90.58	
2005-12	3.33	-59.9	
2006-01	3.48	-16.91	
2006-02	3.6	5.67	
2006-03	3.54	28.42	
2006-04	3.77	56.7	
2006-05	4.64	84.28	
2006-06	4.32	79.06	
2006-07	4.18	70.54	
2006-08	3.86	43.32	
2006-09	4.18	64.29	
2006-10	5.08	87.92	
2006-11	6.09	97.16	
