month	ct_avg_前复权价格	股东人数
2010-03	0.87	232139	
2010-06	0.72	220289	
2010-09	0.76	196305	
2010-12	1.01	104089	
2011-03	1.39	84235	
2011-06	1.35	86046	
2011-09	1.34	71608	
2011-12	1.05	75520	
2012-03	1.12	75380	
2012-06	1.08	74656	
2012-09	1.15	66369	
2012-12	1.37	58772	
2013-03	1.55	56638	
2013-06	1.82	58955	
2013-09	1.46	95107	
2013-12	1.45	86501	
2014-03	1.08	99375	
2014-06	0.95	104233	
2014-09	1.11	100708	
2014-12	1.55	125123	
2015-03	1.61	148048	
2015-06	2.11	150899	
2015-09	1.22	133626	
2015-12	1.27	124067	
2016-03	1.05	114663	
2016-06	1	110675	
2016-09	1.05	112367	
2016-12	1.2	114652	
2017-03	1.55	107167	
2017-06	1.24	121493	
2017-09	1.37	118355	
2017-12	1.24	112526	
2018-03	1.33	95140	
2018-06	1.35	90892	
2018-09	1.26	91676	
2018-12	1.08	99702	
2019-03	1.21	94933	
2019-06	1.17	94538	
2019-09	1.14	91699	
2019-12	1.24	89091	
2020-03	1.28	90664	
2020-06	1.08	101130	
2020-09	1.12	103316	
2020-12	1.19	93350	
2021-03	1.35	109410	
2021-06	1.53	85076	
2021-09	2.64	99529	
2021-12	2.54	89511	
2022-03	1.92	101868	
2022-06	2.06	94831	
2022-09	1.85	106364	
2022-12	1.79	105752	
2023-03	2.11	100362	
2023-06	1.76	117891	
2023-09	1.68	120225	
2023-12	1.36	134536	
2024-03	1.48	130595	
2024-06	1.76	109981	
2024-09	1.47	109614	
