month	ct_avg_前复权价格	股东人数
2009-11	1.14	69142	
2009-12	1.27	21585	
2010-03	1.24	21342	
2010-06	1.75	15978	
2010-09	2.24	12459	
2010-12	2.66	17324	
2011-03	2.52	13540	
2011-06	2.59	16956	
2011-09	3.22	18064	
2011-12	3.09	17144	
2012-03	3.51	12823	
2012-06	3.81	16227	
2012-09	3.39	18850	
2012-12	2.56	33949	
2013-03	2	52899	
2013-06	1.67	51064	
2013-09	1.35	53552	
2013-12	1.16	53092	
2014-03	1.49	39162	
2014-06	1.54	34609	
2014-09	1.93	27197	
2014-12	2.13	22290	
2015-03	2.35	24804	
2015-06	3.03	24171	
2015-09	2.34	23329	
2015-12	2.84	20016	
2016-03	2.77	16670	
2016-06	3.15	17601	
2016-09	2.91	28281	
2016-12	3.08	23468	
2017-03	3.76	17808	
2017-06	3.86	23938	
2017-09	4.13	20791	
2017-12	5.06	24648	
2018-03	5.04	26637	
2018-06	6.33	23140	
2018-09	5.25	26020	
2018-12	4.48	36382	
2019-03	5.32	33267	
2019-06	5.32	48201	
2019-09	4.99	95046	
2019-12	4.86	78298	
2020-03	4.19	97466	
2020-06	5.06	90749	
2020-09	6.45	81203	
2020-12	9.98	77730	
2021-03	8.05	136216	
2021-06	10.28	137584	
2021-09	8.28	159958	
2021-12	8.63	186749	
2022-03	7.22	154216	
2022-06	8.38	115067	
2022-09	7.52	126673	
2022-12	7.89	124744	
2023-03	8.28	118381	
2023-06	6.9	157460	
2023-09	6.94	168467	
2023-12	5.61	180196	
2024-03	5.18	183521	
2024-06	4.56	193172	
2024-09	4.2	197941	
