month	ct_avg_前复权价格	股东人数
2012-05	1.02	66920	
2012-06	0.89	15425	
2012-09	0.7	13778	
2012-12	0.62	13093	
2013-03	0.83	13951	
2013-06	0.82	14199	
2013-09	0.95	16457	
2013-12	0.82	18683	
2014-03	1.06	16544	
2014-06	0.99	18497	
2014-09	1.31	23376	
2014-12	1.52	15947	
2015-03	2	21860	
2015-06	2.85	22488	
2015-09	1.44	28771	
2015-12	2.01	26923	
2016-03	1.44	28473	
2016-06	1.44	24083	
2016-09	1.62	23420	
2016-12	1.77	28014	
2017-03	1.74	25742	
2017-06	1.44	24622	
2017-09	1.48	22801	
2017-12	1.37	21254	
2018-03	1.28	19981	
2018-06	1.11	19301	
2018-09	0.96	19232	
2018-12	0.94	18876	
2019-03	1.13	18859	
2019-06	1.21	16604	
2019-09	1.19	16053	
2019-12	1.28	15411	
2020-03	1.11	14601	
2020-06	1.17	14423	
2020-09	1.26	13429	
2020-12	1.2	12752	
2021-03	1.09	12673	
2021-06	1.06	13083	
2021-09	1.18	18355	
2021-12	1.11	17425	
2022-03	1.02	19161	
2022-06	0.95	18139	
2022-09	0.88	17239	
2022-12	0.96	18259	
2023-03	1.02	22784	
2023-06	0.96	20516	
2023-09	0.92	19451	
2023-12	0.96	23395	
2024-03	0.74	19642	
2024-06	0.62	18112	
2024-09	0.6	17964	
