month	ct_avg_前复权价格	股东人数
1997-12	0.65	6524	
1998-06	0.64	86550	
1998-12	0.48	7392	
1999-06	0.53	7260	
1999-12	0.46	6782	
2000-06	0.66	6831	
2000-12	0.8	6846	
2001-06	0.82	27399	
2001-12	0.63	32210	
2002-06	0.74	32302	
2002-09	0.77	34439	
2002-12	0.94	33891	
2003-03	1.24	61609	
2003-06	1.97	16042	
2003-09	1.64	14289	
2003-12	1.8	10386	
2004-03	1.97	10399	
2004-06	1.35	11441	
2004-09	1.1	35067	
2004-12	0.83	15150	
2005-03	0.81	68077	
2005-06	0.83	12688	
2005-09	0.78	60877	
2005-12	0.53	12956	
2006-03	0.79	49542	
2006-06	1.04	13106	
2006-09	0.99	71755	
2006-12	1.5	14706	
2007-03	2.91	97218	
2007-06	3.32	7063	
2007-09	5.03	60043	
2007-12	4.39	31745	
2008-03	2.83	202777	
2008-06	1.66	35665	
2008-09	1.12	234203	
2008-12	1.05	37888	
2009-03	1.99	249519	
2009-06	2.46	37995	
2009-09	3.03	34862	
2009-12	4.04	28458	
2010-03	3.59	223828	
2010-06	2.8	35444	
2010-09	3.23	35707	
2010-12	3.01	36570	
2011-03	2.85	249600	
2011-06	2.56	40443	
2011-09	2.21	42544	
2011-12	1.99	42188	
2012-03	2.45	38721	
2012-06	2.75	223497	
2012-09	2.68	205595	
2012-12	3.07	31015	
2013-03	4.67	23906	
2013-06	5.06	20211	
2013-09	5.66	17626	
2013-12	6.37	16196	
2014-03	5.08	16679	
2014-06	6.41	15524	
2014-09	7.15	15451	
2014-12	8.94	14089	
2015-03	10.9	13296	
2015-06	11.72	21409	
2015-09	7.34	20753	
2015-12	9.06	18948	
2016-03	7.82	19456	
2016-06	7.7	22828	
2016-09	8.89	22147	
2016-12	8.85	25007	
2017-03	8.97	29288	
2017-06	8.37	29267	
2017-07	8.55	29000	
2017-09	8.25	29124	
2017-12	7.67	30002	
2018-03	7.04	30235	
2018-05	6.13	170000	
2018-06	5.66	99424.5	
2018-07	5.14	168000	
2018-08	4.62	28500	
2018-09	4.34	98253.5	
2018-10	3.93	193000	
2018-12	4.02	149868	
2019-01	4.61	175333.33	
2019-02	5.24	154666.67	
2019-03	5.18	130437	
2019-04	5.86	167750	
2019-05	4.69	159333.33	
2019-06	4.13	161688.67	
2019-07	4.59	163000	
2019-08	5	138333.33	
2019-09	5.12	149466.33	
2019-10	4.7	141233.33	
2019-11	5.15	80250	
2019-12	5.75	138474	
2020-01	6.83	75100	
2020-02	6.36	27000	
2020-03	6.74	94297.33	
2020-04	6.07	121500	
2020-05	6.52	27100	
2020-06	6.94	93486.67	
2020-07	7.42	63066.67	
2020-08	7.21	27200	
2020-09	8.51	63716.33	
2020-10	9.84	54000	
2020-11	12.38	84666.67	
2020-12	14.91	245493.67	
2021-01	12.82	26000	
2021-02	11.68	27000	
2021-03	9.74	204401	
2021-06	15.1	326409	
2021-09	16.57	488030	
2021-12	14.83	593511	
2022-03	10.35	589258	
2022-06	16.98	664305	
2022-09	16	688132	
2022-12	15.56	731125	
2023-03	14.28	736208	
2023-06	14.44	655768	
2023-09	15.55	547561	
2023-12	21.45	451892	
2024-03	19.54	453758	
2024-06	16.55	608321	
2024-09	14.91	613116	
