month	ct_avg_前复权价格	股东人数
1998-12	0.97	44183	
1999-06	1.04	44487	
1999-12	0.96	46471	
2000-06	1.12	36676	
2000-12	1.36	39908	
2001-12	1.34	40777	
2002-06	1.27	37490	
2002-09	1.34	37679	
2002-12	1.24	38037	
2003-03	1.19	37464	
2003-06	1.03	36981	
2003-09	0.88	36928	
2003-12	0.84	35871	
2004-03	1.1	29265	
2004-06	1.13	27956	
2004-09	1.1	29068	
2004-12	1.1	28771	
2005-03	1.23	25697	
2005-06	1.34	19994	
2005-09	1.59	16420	
2005-12	1.53	16372	
2006-03	1.75	15445	
2006-06	3.83	10458	
2006-09	3.96	7700	
2006-12	5.62	5961	
2007-03	13.91	4693	
2007-06	24.52	5459	
2007-09	45.38	7659	
2007-12	44.5	12633	
2008-03	28.82	35916	
2008-06	16.35	56913	
2008-09	9.59	54835	
2008-12	8.18	64659	
2009-03	10.09	79663	
2009-06	12.65	88193	
2009-09	14.78	91074	
2009-12	15.63	87133	
2010-03	14.07	89304	
2010-06	12.35	84896	
2010-09	12.03	85373	
2010-12	12.72	93061	
2011-03	16.54	72513	
2011-06	14.23	79413	
2011-09	11.27	102216	
2011-12	9	106060	
2012-03	11.38	115689	
2012-06	9.91	122037	
2012-09	8.66	123851	
2012-12	8.72	117429	
2013-03	9.34	118025	
2013-06	7.73	116572	
2013-09	8.16	112294	
2013-12	9.33	93009	
2014-03	8.23	102082	
2014-06	8.48	96991	
2014-09	13.08	96961	
2014-12	16.31	121514	
2015-03	16.86	127823	
2015-06	26.11	140542	
2015-09	15.24	134540	
2015-12	15.29	130128	
2016-03	10.37	135687	
2016-06	9.46	135693	
2016-09	9.5	135039	
2016-12	12.01	148504	
2017-03	12.11	147488	
2017-06	9.77	150853	
2017-09	10.67	145814	
2017-12	10.62	145879	
2018-03	9.68	167897	
2018-06	4.66	138023	
2018-09	4.86	131167	
2018-12	5.55	124634	
2019-03	7.82	118601	
2019-06	8.52	146663	
2019-09	10.5	146262	
2019-12	9.22	134975	
2020-03	8.07	133026	
2020-06	7.76	129075	
2020-09	8.35	133215	
2020-12	7.89	134292	
2021-03	6.56	138235	
2021-06	7.29	155638	
2021-09	11.41	198814	
2021-12	10.51	215218	
2022-03	8.25	217905	
2022-06	8.4	206786	
2022-09	11.14	149823	
2022-12	9.95	179351	
2023-03	10.86	178364	
2023-06	12.9	240054	
2023-09	12.13	224987	
2023-12	12.43	191137	
2024-03	15.46	172656	
2024-06	16.56	159180	
2024-09	15.56	195204	
