month	ct_avg_前复权价格	人均持股
2011-12	0.99	856.5	
2012-03	1.5	2303	
2012-06	1.09	3651	
2012-09	0.86	4017	
2012-12	0.89	3926	
2013-03	1.03	4771	
2013-06	1.22	5127	
2013-09	1.57	8328	
2013-12	1.66	7370	
2014-03	1.72	5996	
2014-06	1.6	10012	
2014-09	1.85	7820	
2014-12	1.52	29272	
2015-03	1.68	27568	
2015-06	2.17	36304	
2015-09	0.94	23989	
2015-12	1.23	30710	
2016-03	0.95	33198	
2016-06	1.03	34586	
2016-09	1.13	36408	
2016-12	1.45	46001	
2017-03	1.54	41269	
2017-04	1.52	40618.5	
2017-05	1.56	36364	
2017-06	1.78	28595	
2017-08	1.96	22222	
2017-09	2.02	24704	
2017-12	1.88	28539	
2018-03	1.97	30726	
2018-05	1.61	34844	
2018-06	1.47	34207.33	
2018-07	1.28	34844	
2018-08	1.2	44087	
2018-09	1.32	44895.5	
2018-10	1.22	45025	
2018-11	1.23	45071	
2018-12	1.21	42540	
2019-02	1.5	50570	
2019-03	1.68	47191	
2019-04	2.2	31396	
2019-05	1.8	30088	
2019-06	1.67	30294.5	
2019-07	1.75	30967.5	
2019-09	1.62	28617	
2019-12	1.89	34400	
2020-03	1.85	24319	
2020-06	1.85	35556	
2020-09	2.36	55206	
2020-12	3.18	53665	
2021-03	4.76	42892	
2021-06	6.09	59075	
2021-09	7.24	56143	
2021-12	6.7	52221	
2022-03	7.17	62273	
2022-06	6.53	66031	
2022-09	5.08	43401	
2022-12	5.27	67418	
2023-03	5.6	72987	
2023-06	5.02	73189	
2023-09	5.43	83691	
2023-12	5.24	68254	
2024-03	5.92	82049	
2024-06	6.42	89387	
2024-09	5.57	84010	
