month	ct_avg_前复权价格	人均持股
2007-11	0.8	978	
2007-12	0.88	1237	
2008-03	0.8	1577	
2008-06	0.52	2204	
2008-09	0.36	2328	
2008-12	0.45	4864	
2009-03	0.64	5190	
2009-06	0.84	5455	
2009-09	0.85	4713	
2009-12	1.05	6762	
2010-03	0.99	7700	
2010-06	0.92	9857	
2010-09	1.2	9279	
2010-12	1.47	7691	
2011-03	1.69	11727	
2011-06	1.5	13908	
2011-09	1.62	16532	
2011-12	1.31	15517	
2012-03	1.27	13452	
2012-06	1.08	12290	
2012-09	1.04	12673	
2012-12	0.9	12665	
2013-03	1.15	10497	
2013-06	1.04	10825	
2013-09	1.08	11000	
2013-12	1.25	24042	
2014-03	1.25	20725	
2014-06	1.26	24885	
2014-09	1.93	21560	
2014-12	1.95	18159	
2015-03	2.29	22465	
2015-06	4.19	16723	
2015-09	3.22	11508	
2015-12	3.88	13280	
2016-03	3.25	14297	
2016-06	4.25	19784	
2016-09	3.99	18894	
2016-12	3.67	16684	
2017-03	3.96	18604	
2017-04	3.89	19483.5	
2017-06	3.9	24616	
2017-07	4.39	28311	
2017-08	4.36	28793	
2017-09	4.51	31611	
2017-11	4.92	34840	
2017-12	4.94	33165	
2018-03	5.13	37085.5	
2018-04	5.39	34346	
2018-05	5.16	34975.5	
2018-06	5.17	39201.5	
2018-07	5.47	41750.67	
2018-08	5.32	42496.33	
2018-09	5.69	41671.5	
2018-10	5.24	41174.67	
2018-11	5.1	40301.67	
2018-12	4.77	35799.67	
2019-01	4.68	36993.67	
2019-02	5.11	37899.5	
2019-03	5.52	35949.25	
2019-05	5.6	40881	
2019-06	5.49	40432	
2019-07	6	41698	
2019-08	6.67	38843.67	
2019-09	7.13	28650	
2019-10	6.73	30382	
2019-11	6.66	31915.33	
2019-12	6.67	32246	
2020-01	6.67	28657.5	
2020-02	6.44	30970	
2020-03	6.18	31250	
2020-04	5.87	28999.33	
2020-05	6.02	28947.67	
2020-06	6.21	31628	
2020-07	7.35	33668.67	
2020-08	7.96	32643.33	
2020-09	7.98	35455.33	
2020-10	8.77	39666	
2020-11	10.07	42448.33	
2020-12	11.41	32747.67	
2021-01	13.12	21429	
2021-02	12.22	21984	
2021-03	11.21	24559.33	
2021-04	12.61	26050.5	
2021-05	12.33	26977	
2021-06	13.13	25374.67	
2021-07	13.96	26065	
2021-08	16.25	23115.67	
2021-09	14.75	20288.67	
2021-10	14.55	23119.67	
2021-11	16.69	28259	
2021-12	16.8	28328.33	
2022-01	15.31	28814.67	
2022-02	14.63	27866.67	
2022-03	14.35	27030.67	
2022-04	12.61	27890	
2022-05	13.86	30081.67	
2022-06	14.91	34315.33	
2022-07	15.48	35479	
2022-08	15.16	37237.67	
2022-09	15.38	41100.67	
2022-10	15.62	41487	
2022-11	14.9	31956.67	
2022-12	14.03	30092.67	
2023-01	13.88	29789.5	
2023-02	13.82	26618.67	
2023-03	13.39	26682	
2023-04	13.37	27994.33	
2023-05	13.63	34077	
2023-06	13.43	37086.67	
2023-07	14.08	38872	
2023-08	13.78	40662.33	
2023-09	13.76	41547.67	
2023-10	12.77	39375.67	
2023-11	12.7	38548	
2023-12	12.02	37591.67	
2024-01	10.74	36653.33	
2024-02	10.61	37899	
2024-03	11.23	29306	
2024-04	10.6	26948	
2024-05	11.45	31757.33	
2024-06	12.15	36035.33	
2024-07	12.08	37791	
2024-08	11.92	37980	
2024-09	12.26	39986	
2024-10	14.19	34105.33	
2024-11	13.69	29568	
2024-12	12.72	28639	
2025-01	12.07	27691.33	
