month	ct_avg_Tdx收盘价	人均持股
1995-12	7.84	25196	
1996-12	14.51	10858	
1997-12	21.74	11915	
1998-12	10.23	16696	
1999-12	7.93	16461	
2000-12	14.57	16223	
2001-12	17.81	5795	
2002-06	15.74	5795	
2002-09	16.51	5665	
2002-12	16.31	5652	
2003-03	15.21	5672	
2003-06	12.08	5953	
2003-09	11.55	5921	
2003-12	10.05	5718	
2004-03	10.1	5862	
2004-06	8.12	5892	
2004-09	5.63	6720	
2004-12	5.97	6010	
2005-03	4.97	6090	
2005-06	4.13	6191	
2005-09	4.9	6225	
2005-12	4.22	5698	
2006-03	4.45	6261	
2006-06	6.12	6139	
2006-09	6.2	6347	
2006-12	6.71	6460	
2007-03	11.31	7076	
2007-06	16.23	5562	
2007-09	19.85	5175	
2007-12	13.48	5531	
2008-03	15.6	5837	
2008-06	9.38	6002	
2008-09	6.33	5593	
2008-12	5.44	5897	
2009-03	7.6	4880	
2009-06	8.59	5018	
2009-09	8.29	4789	
2009-12	12.08	6550	
2010-03	13.2	6528	
2010-06	13.62	7186	
2010-09	14.76	6972	
2010-12	18.09	8680	
2011-03	17.48	8283	
2011-06	14.85	12208	
2011-09	17.3	12017	
2011-12	14.36	12688	
2012-01	11.56	10993	
2012-03	12.62	10547	
2012-06	10.62	9951	
2012-09	8.55	9755	
2012-12	7.01	9006	
2013-03	7.23	7448	
2013-06	7.57	8299	
2013-09	7.41	7670	
2013-12	7.71	13870	
2014-03	6.94	13060	
2014-06	7.69	14509	
2014-09	9.68	14670	
2014-12	10.51	15013	
2015-03	13.33	15741	
2015-06	23.28	16399	
2015-09	9.7	11259	
2015-12	15.89	11685	
2016-03	12.3	10989	
2016-06	10.94	10937	
2016-09	13	10222	
2016-12	13.67	11636	
2017-03	14.63	11894	
2017-04	14.4	12908	
2017-05	12.74	12995	
2017-06	12.31	10183.5	
2017-07	11.95	10859	
2017-08	11.59	12286.5	
2017-09	11.85	10327.5	
2017-10	12.17	8447	
2017-12	10.84	12469	
2018-03	10.39	10679.5	
2018-04	10.63	12030.75	
2018-05	10.53	13436.67	
2018-06	9.63	12745.33	
2018-07	8.5	12062	
2018-08	7.51	8534.5	
2018-09	7.65	11524	
2018-10	7.28	10934.67	
2018-11	7.48	13390.33	
2018-12	7.53	12573.8	
2019-01	7.73	12227.25	
2019-02	8.16	11274.5	
2019-03	8.91	11196	
2019-04	8.82	10668	
2019-05	7.79	8729	
2019-06	7.72	12290.33	
2019-07	7.66	9040	
2019-08	7.41	9021	
2019-09	7.97	9063.67	
2019-10	8.03	12055.5	
2019-11	8.36	11549.5	
2019-12	10.48	9107	
2020-02	9.71	9158	
2020-03	9.04	10026.67	
2020-04	8.71	9317	
2020-05	8.6	7723.5	
2020-06	8.89	7816	
2020-07	12.65	12723.5	
2020-08	16.66	19919.33	
2020-09	17.33	18133.33	
2020-10	15.26	19596.33	
2020-11	12.91	16632	
2020-12	11.74	15584.67	
2021-01	11.94	15819.5	
2021-02	12.99	15845	
2021-03	14.9	12813.5	
2021-04	15.99	17846	
2021-05	15.5	18314	
2021-06	14.13	15246.33	
2021-07	13.64	17400.67	
2021-08	12.61	16108.33	
2021-09	12.31	12539.67	
2021-10	11.55	13197	
2021-11	11.47	13672	
2021-12	11.68	10762.75	
2022-01	11.86	13330.67	
2022-02	11.23	13193.67	
2022-03	10.21	12651.33	
2022-06	10.32	12036	
2022-09	9.67	12795	
2022-10	9.1	8372	
2022-11	10.06	8389	
2022-12	10.55	7244	
2023-01	11.15	7210	
2023-03	11.4	12084	
2023-05	11.84	7930	
2023-06	12.07	8005	
2023-07	12.1	8064.5	
2023-08	11.54	8177	
2023-09	11.68	10373.33	
2023-10	10.77	12462.5	
2023-11	11.82	8359	
2023-12	11.46	11568.5	
2024-01	10.5	8501	
2024-03	10.19	8461.33	
2024-04	10.65	8461	
2024-05	10.06	6846	
2024-06	9.14	10720	
2024-07	8.85	6925	
2024-08	8.89	6961	
2024-09	9.07	6973.5	
2024-10	10.1	6962	
2024-11	10.53	6983	
2024-12	10.95	6986	
