month	ct_avg_前复权价格	人均持股
2010-03	1.01	798	
2010-06	0.83	1451	
2010-09	0.95	1526	
2010-12	1.02	1849	
2011-03	0.91	1747	
2011-06	0.72	1737	
2011-09	0.75	1784	
2011-12	0.69	1827	
2012-03	0.73	1810	
2012-06	0.72	1786	
2012-09	0.73	1905	
2012-12	0.62	1874	
2013-03	0.64	3431	
2013-06	0.59	3295	
2013-09	0.61	3347	
2013-12	0.83	2815	
2014-03	0.74	4035	
2014-06	0.71	3380	
2014-09	0.85	3913	
2014-12	0.9	4153	
2015-03	0.95	5587	
2015-06	1.77	6559	
2015-09	1.04	7119	
2015-12	1.62	7971	
2016-03	1.26	14725	
2016-06	3.42	4220	
2016-09	4.5	5308	
2016-12	4.64	4305	
2017-02	4.82	1809	
2017-03	6.47	2185	
2017-06	5.51	2227	
2017-09	5.56	2511	
2017-12	5.4	2608	
2018-03	5.34	17829	
2018-06	4.92	16869	
2018-09	4.3	22407	
2018-12	3.67	18816	
2019-03	3.82	27438	
2019-06	3.3	27098	
2019-07	3.7	31318	
2019-08	4.03	35059	
2019-09	4.22	29677	
2019-10	4.38	30253.33	
2019-12	4.03	25765	
2020-03	4.93	52684	
2020-06	5.72	81162	
2020-09	8.59	54783	
2020-12	8.85	37754	
2021-02	11.66	27176	
2021-03	9.73	22091	
2021-06	7.63	15747	
2021-09	6.85	20015	
2021-12	7.04	24727	
2022-03	5.47	20448	
2022-06	5.69	24657	
2022-09	5.24	23518	
2022-12	6.24	29209	
2023-03	5.81	26672	
2023-06	5.24	24819	
2023-09	4.61	23364	
2023-12	4.4	24324	
2024-03	4.15	23312	
2024-06	4.05	24383	
2024-09	4.2	25033	
