month	ct_avg_前复权价格	人均持股
1996-12	1.86	3061	
1997-12	1.69	1213	
1998-12	1.31	1154	
1999-12	1.26	1684	
2000-12	1.99	2106	
2001-06	1.89	2112	
2001-09	1.48	2073	
2001-12	1.41	2153	
2002-03	1.09	2272	
2002-06	1.18	2323	
2002-09	1.12	2324	
2002-12	1.28	2829	
2003-03	1.47	0	
2003-06	1.4	0	
2003-09	1.18	0	
2003-12	1.01	0	
2004-03	1.25	0	
2004-06	1.09	0	
2004-09	1.09	0	
2004-12	0.86	0	
2005-03	0.74	0	
2005-06	0.64	0	
2005-09	0.87	0	
2005-12	0.88	0	
2006-03	0.86	0	
2006-06	1.28	0	
2006-09	1.27	0	
2006-12	1.28	0	
2007-03	1.28	0	
2007-06	2.93	0	
2007-09	2.93	0	
2007-12	2.93	0	
2008-03	2.93	0	
2008-06	2.93	0	
2008-09	2.93	0	
2008-12	2.04	3659	
2009-03	3.01	3924	
2009-06	4.14	4066	
2009-09	4.2	5163	
2009-12	5.41	7099	
2010-03	5.84	8234	
2010-06	5.47	8630	
2010-09	6.27	6270	
2010-12	6.72	4940	
2011-03	6.97	6632	
2011-06	6.26	8703	
2011-09	6.34	8631	
2011-12	5.67	20172	
2012-03	6.5	18542	
2012-06	5.59	18474	
2012-09	4.87	18753	
2012-12	4.57	19277	
2013-03	5.84	18931	
2013-06	6.54	18613	
2013-09	7.16	21001	
2013-12	8.09	23333	
2014-03	9.17	23228	
2014-06	9.49	23035	
2014-09	12.2	24964	
2014-12	12.36	22048	
2015-03	14.05	23298	
2015-06	27.34	14348	
2015-09	16.14	14755	
2015-12	18.84	14786	
2016-03	15.91	14655	
2016-06	14.18	15443	
2016-09	14.74	15221	
2016-12	13.86	13940	
2017-02	14.2	15941	
2017-03	14.04	16257	
2017-06	11.17	21374	
2017-09	12.84	23138	
2017-12	11.63	24218.5	
2018-02	9.99	25051	
2018-03	11.09	22399	
2018-04	11.66	22296	
2018-06	9.58	22689	
2018-09	10.17	24047	
2018-12	9.54	24781	
2019-03	10.92	24188	
2019-06	9.48	24373	
2019-07	9.89	24106	
2019-09	9.94	23422	
2019-12	8.62	23983	
2020-03	9.91	24802	
2020-06	9.93	24837	
2020-09	17.34	25140	
2020-12	20.41	21665	
2021-03	21.76	9437	
2021-06	22.51	8259	
2021-09	24.31	10279	
2021-12	26.74	14770	
2022-03	19.52	12682	
2022-06	17.87	11750	
2022-09	19.7	15020	
2022-12	18.34	14429	
2023-03	19.4	15983	
2023-06	17.23	15840	
2023-09	16.33	17362	
2023-12	15.13	18252	
2024-03	14.94	18775	
2024-06	15.9	19892	
2024-09	15.21	20490	
