month	ct_avg_前复权价格	人均持股
1996-12	2.33	1119	
1997-12	3.18	1135	
1998-12	4.66	1910	
1999-06	5.36	4103	
1999-12	5.25	3390	
2000-12	6.82	1568	
2001-12	6.13	1734	
2002-06	6.79	2586	
2002-09	6.91	2570	
2002-12	6.01	2607	
2003-03	6.23	2596	
2003-06	6.02	2478	
2003-09	5.44	2489	
2003-12	5.15	2552	
2004-03	6.01	2710	
2004-06	5.46	2890	
2004-09	5.17	2866	
2004-12	5.04	2940	
2005-03	4.66	2984	
2005-06	4.2	3022	
2005-09	4.36	3032	
2005-12	3.84	3100	
2006-03	4.23	4036	
2006-06	6.06	4666	
2006-09	5.67	4980	
2006-12	6.97	5143	
2007-03	12.6	5356	
2007-06	31.02	5226	
2007-09	28.94	4339	
2007-12	23.46	4314	
2008-03	25.27	4333	
2008-06	24.58	5128	
2008-09	14.61	5557	
2008-12	10.86	5626	
2009-03	19.87	8737	
2009-06	25.7	8754	
2009-09	26.99	9599	
2009-12	33.95	6774	
2010-03	28.42	8762	
2010-06	26.61	10186	
2010-09	39.5	16380	
2010-12	36.07	12128	
2011-03	41.42	13743	
2011-06	34.46	13513	
2011-09	33.48	13391	
2011-12	29.24	14587	
2012-03	33.99	27821	
2012-06	31.62	27882	
2012-09	29.93	29340	
2012-12	34.3	31856	
2013-03	32.01	27786	
2013-06	29.4	25510	
2013-09	33.21	29088	
2013-12	38.42	34062	
2014-03	33.71	30390	
2014-06	34.36	30357	
2014-09	45.72	37617	
2014-12	57.94	46553	
2015-03	71.52	55535	
2015-06	84.78	30671	
2015-09	53.06	37069	
2015-12	64.27	38632	
2016-03	53.9	37548	
2016-06	56.8	36661	
2016-09	63.29	40946	
2016-12	66.02	44388	
2017-02	67.07	47830	
2017-03	67.96	45588	
2017-06	91.28	48822	
2017-09	88.66	49476	
2017-12	112.83	58710	
2018-03	111.33	47080	
2018-06	104.93	52064	
2018-09	91.22	52099	
2018-12	79.33	50301	
2019-03	91.05	50107	
2019-06	92.5	60566	
2019-09	113.95	66972	
2019-12	114.88	70153	
2020-03	109.56	48050	
2020-06	96.45	41020	
2020-09	124.89	49339	
2020-12	142.02	48673	
2021-03	123.11	50945	
2021-06	122.07	45274	
2021-09	116.97	41946	
2021-12	137.87	49349	
2022-03	108.04	53012	
2022-06	116.96	51760	
2022-09	92.26	43150	
2022-12	92.84	44623	
2023-03	90.5	43473	
2023-06	93.45	48492	
2023-09	102.76	55055	
2023-12	89.24	48443	
2024-03	92.68	49864	
2024-06	87.89	46059	
2024-09	90.34	49254	
