month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2003-09	0.84	17.12	
2003-10	0.87	22.27	
2003-11	0.94	66.74	
2003-12	1.11	88.82	
2004-01	1.31	96.5	
2004-02	1.23	86.97	
2004-03	1.3	91.69	
2004-04	1.25	78.81	
2004-05	1.21	62.84	
2004-06	1.15	38.27	
2004-07	1.19	43.06	
2004-08	1.14	6.37	
2004-09	1.14	-6.58	
2004-10	1.1	-22.55	
2004-11	1.11	-31.9	
2004-12	1.07	-55.24	
2005-01	1.01	-73.57	
2005-02	1.09	-55.56	
2005-03	1.06	-54.78	
2005-04	1.05	-68.75	
2005-05	0.94	-89.81	
2005-06	0.9	-88.03	
2005-07	0.93	-82.31	
2005-08	1.11	-19.88	
2005-09	1.07	-2.31	
2005-10	1	-29.02	
2005-11	1.05	1.5	
2005-12	1.13	42.17	
2006-01	1.22	62.56	
2006-02	1.33	77.78	
2006-03	1.31	83.19	
2006-04	1.39	90.04	
2006-05	1.72	97.12	
2006-06	1.55	83.64	
2006-07	1.52	75.59	
2006-08	1.57	84.32	
2006-09	1.72	93.5	
2006-10	1.89	95.38	
2006-11	2.41	99.19	
2006-12	2.77	99.02	
2007-01	3.33	96.56	
2007-02	3.02	84.17	
2007-03	3.04	79.5	
2007-04	3.67	95.66	
2007-05	4.26	98.61	
2007-06	4.81	95.62	
2007-07	4.48	82.67	
2007-08	5.1	95.65	
2007-09	5.85	98.44	
2007-10	8.05	98.96	
2007-11	7.84	87.58	
2007-12	7.62	83.13	
2008-01	7.13	74.31	
2008-02	5.99	35.65	
2008-03	4.8	1.36	
2008-04	3.88	-27.42	
2008-05	4.21	-30.67	
2008-06	4.12	-37.77	
2008-07	3.63	-64.05	
2008-08	3.62	-78.32	
2008-09	3.32	-85.67	
2008-10	2.95	-89.87	
2008-11	2.62	-89.38	
2008-12	2.68	-89.79	
2009-01	2.54	-89.58	
2009-02	2.9	-66.16	
2009-03	2.91	-53.53	
2009-04	3.22	-14.24	
2009-05	3.53	13	
2009-06	3.53	27.15	
2009-07	4.32	49.73	
2009-08	4.59	59.35	
2009-09	4.05	47.81	
2009-10	4.11	46.43	
2009-11	4.22	59.57	
2009-12	4.53	79.97	
2010-01	4.4	73.57	
2010-02	3.85	27.62	
2010-03	3.97	11.37	
2010-04	3.82	-9.69	
2010-05	3.13	-55.63	
2010-06	2.9	-73.92	
2010-07	2.89	-81.17	
2010-08	2.97	-74.76	
2010-09	2.9	-82.61	
2010-10	3.21	-49.5	
2010-11	3.09	-45.33	
2010-12	2.9	-70.73	
2011-01	3.01	-56.65	
2011-02	3.16	-8.51	
2011-03	3.05	-10.91	
2011-04	3.11	4.42	
2011-05	2.94	-29.72	
2011-06	2.88	-56.85	
2011-07	2.88	-66.03	
2011-08	2.62	-84.94	
2011-09	2.57	-92.64	
2011-10	2.57	-89.68	
2011-11	2.69	-68.71	
2011-12	2.63	-73.09	
2012-01	2.79	-37.86	
2012-02	2.81	-12.99	
2012-03	2.73	-13.03	
2012-04	2.65	-47.69	
2012-05	2.58	-62.99	
2012-06	2.42	-80.76	
2012-07	2.27	-89.69	
2012-08	2.29	-84.71	
2012-09	2.28	-85.45	
2012-10	2.38	-63.2	
2012-11	2.36	-57.18	
2012-12	2.5	-25.6	
2013-01	2.66	17.72	
2013-02	2.71	40.06	
2013-03	2.83	58.46	
2013-04	2.67	47.07	
2013-05	2.58	29.75	
