month	ct_avg_前复权价格	人均持股
2011-03	0.95	528	
2011-06	0.75	2630	
2011-09	0.78	2696	
2011-12	0.66	2728	
2012-03	0.65	2682	
2012-06	0.57	2920	
2012-09	0.55	3037	
2012-12	0.59	2718	
2013-03	0.6	2915	
2013-06	0.58	3256	
2013-09	0.6	3323	
2013-12	1.44	4757	
2014-03	2.42	9238	
2014-06	2.44	11444	
2014-09	2.55	11597	
2014-12	2.53	11610	
2015-03	3.34	15673	
2015-06	7.9	3171	
2015-09	4.56	3771	
2015-12	7.77	2532	
2016-03	5.5	2865	
2016-06	5.56	5743	
2016-09	5.84	4908	
2016-12	5.25	10415	
2017-02	5.63	10698	
2017-03	6.43	14124	
2017-06	7.82	14675	
2017-09	6.83	15518	
2017-12	6.45	30424	
2018-03	6.17	23528	
2018-06	3.8	20941	
2018-09	3.29	23695	
2018-12	3.55	24362	
2019-03	4.53	27011	
2019-06	4.05	29878	
2019-09	5.76	33747	
2019-12	8	31842	
2020-03	10.64	24148	
2020-06	12.61	25030	
2020-09	13.46	15915	
2020-12	9.38	7792	
2021-03	8.39	6843	
2021-06	8.21	8904	
2021-09	7	11490	
2021-12	8.25	13935	
2022-03	7.08	15600	
2022-06	7.39	12556	
2022-09	6.31	10994	
2022-12	5.97	11285	
2023-03	8.44	18594	
2023-06	11.68	20414	
2023-09	7.64	13092	
2023-12	7.88	11995	
2024-03	6.65	10178	
2024-06	5.02	8713	
2024-09	5.3	8943	
