month	ct_avg_前复权价格	人均持股
2001-12	0.8	722301	
2002-03	0.76	727467	
2002-06	0.76	741646	
2002-09	0.84	758646	
2002-12	0.74	775940	
2003-06	0.92	916066	
2003-09	0.84	1071141	
2003-12	1.11	1253398	
2004-06	1.15	1488820	
2004-09	1.14	1523837	
2004-12	1.07	0	
2005-03	1.06	0	
2005-06	0.9	0	
2005-09	1.07	0	
2005-12	1.13	0	
2006-03	1.31	0	
2006-06	1.55	0	
2006-09	1.72	0	
2006-12	2.77	2114743	
2007-03	3.04	2206797	
2007-06	4.81	2293356	
2007-09	5.85	2349550	
2007-12	7.62	2455442	
2008-03	4.8	2466993	
2008-06	4.12	2477190	
2008-09	3.32	2476459	
2008-12	2.68	2379536	
2009-03	2.91	2358798	
2009-06	3.53	2356479	
2009-09	4.05	2360457	
2009-12	4.53	2373478	
2010-03	3.97	2378861	
2010-06	2.9	2347907	
2010-09	2.9	2348892	
2010-12	2.9	2391405	
2011-03	3.05	2414806	
2011-06	2.88	2415501	
2011-09	2.57	2438316	
2011-12	2.63	2481587	
2012-03	2.73	2538268	
2012-06	2.42	2539804	
2012-09	2.28	2540189	
2012-12	2.5	2559952	
2013-03	2.83	3018877	
2013-06	2.36	3892804	
2013-09	2.34	3879191	
2013-12	2.47	3915506	
2014-03	2.69	3923937	
2014-06	2.76	3954959	
2014-09	2.97	3987721	
2014-12	3.3	3978394	
2015-03	3.42	3982119	
2015-06	4.1	4052325	
2015-09	2.76	4049109	
2015-12	2.82	4065887	
2016-03	2.62	4058126	
2016-06	2.69	4067183	
2016-09	2.83	4078887	
2016-12	3.19	4095912	
2017-03	3.3	4129056	
2017-06	3.51	4151227	
2017-09	3.58	4181845	
2017-12	3.68	4203895	
2018-03	3.98	4294469	
2018-06	4.16	4359781	
2018-09	4.49	4383752	
2018-12	3.81	4389786	
2019-03	3.93	4407227	
2019-06	3.69	4395837	
2019-09	3.59	4391298	
2019-12	3.55	4399627	
2020-03	3.28	4404184	
2020-06	2.99	4394323	
2020-12	3.09	4440209	
2021-03	3.34	4494176	
2021-06	3.44	4521254	
2021-09	3.59	4557599	
2021-12	3.4	4583801	
2022-03	3.4	4602821	
2022-06	3.58	4587923	
2022-09	3.82	4576402	
2022-12	4	4440232	
2023-03	4.86	4477943	
2023-06	5.86	4508904	
2023-09	5.82	4534307	
2023-12	5.11	4488544	
2024-03	5.95	4514311	
2024-06	5.88	4533621	
2024-09	6.49	4564406	
