month	ct_avg_前复权价格	股东人数
2001-12	0.8	23232	
2002-03	0.76	23067	
2002-06	0.76	22626	
2002-09	0.84	22119	
2002-12	0.74	21626	
2003-06	0.92	18318	
2003-09	0.84	15666	
2003-12	1.11	13388	
2004-06	1.15	11271	
2004-09	1.14	11012	
2004-12	1.07	10599	
2005-03	1.06	10352	
2005-06	0.9	10270	
2005-09	1.07	9866	
2005-12	1.13	9550	
2006-03	1.31	8812	
2006-06	1.55	8464	
2006-09	1.72	8387	
2006-12	2.77	7935	
2007-03	3.04	7604	
2007-06	4.81	7317	
2007-09	5.85	7142	
2007-12	7.62	6834	
2008-03	4.8	6802	
2008-06	4.12	6774	
2008-09	3.32	6776	
2008-12	2.68	7052	
2009-03	2.91	7114	
2009-06	3.53	7121	
2009-09	4.05	7109	
2009-12	4.53	7070	
2010-03	3.97	7054	
2010-06	2.9	7147	
2010-09	2.9	7144	
2010-12	2.9	7017	
2011-03	3.05	6949	
2011-06	2.88	6947	
2011-09	2.57	6882	
2011-12	2.63	6762	
2012-03	2.73	6611	
2012-06	2.42	6607	
2012-09	2.28	6606	
2012-12	2.5	6555	
2013-03	2.83	6501	
2013-06	2.36	6554	
2013-09	2.34	6577	
2013-12	2.47	6516	
2014-03	2.69	6502	
2014-06	2.76	6451	
2014-09	2.97	6398	
2014-12	3.3	6413	
2015-03	3.42	6407	
2015-06	4.1	6296	
2015-09	2.76	6301	
2015-12	2.82	6275	
2016-03	2.62	6287	
2016-06	2.69	6273	
2016-09	2.83	6255	
2016-12	3.19	6229	
2017-03	3.3	6179	
2017-06	3.51	6146	
2017-09	3.58	6101	
2017-12	3.68	6069	
2018-03	3.98	5941	
2018-06	4.16	5852	
2018-09	4.49	5820	
2018-12	3.81	5812	
2019-03	3.93	5789	
2019-06	3.69	5804	
2019-09	3.59	5810	
2019-12	3.55	5799	
2020-03	3.28	5793	
2020-06	2.99	5806	
2020-12	3.09	5746	
2021-03	3.34	5677	
2021-06	3.44	5643	
2021-09	3.59	5598	
2021-12	3.4	5566	
2022-03	3.4	5543	
2022-06	3.58	5561	
2022-09	3.82	5575	
2022-12	4	5581	
2023-03	4.86	5534	
2023-06	5.86	5496	
2023-09	5.82	5458	
2023-12	5.11	5431	
2024-03	5.95	5400	
2024-06	5.88	5377	
2024-09	6.49	5332	
