month	ct_avg_前复权价格	股东人数
2012-03	0.89	130907	
2012-06	0.76	20130	
2012-09	0.66	20047	
2012-12	0.78	19838	
2013-03	0.75	19549	
2013-06	0.69	19463	
2013-09	0.68	19314	
2013-12	0.69	19178	
2014-03	0.6	19062	
2014-06	0.6	18942	
2014-09	0.76	18716	
2014-12	1.89	18405	
2015-03	2.48	17782	
2015-06	3.08	15930	
2015-09	2.18	15820	
2015-12	2.39	15740	
2016-06	1.85	15673	
2016-09	2.02	15572	
2016-12	2.63	15474	
2017-06	2.78	15120	
2017-09	2.8	14881	
2017-12	2.43	14612	
2018-03	2.36	14178	
2018-06	2.12	14066	
2018-09	2.2	13986	
2018-12	2.17	13929	
2019-03	2.29	13864	
2019-06	2.04	13794	
2019-09	1.96	13715	
2019-12	1.66	13672	
2020-03	1.67	13597	
2020-06	1.44	13506	
2020-09	1.47	13288	
2020-12	1.44	13161	
2021-06	1.29	12886	
2021-09	1.78	12740	
2021-12	1.6	12649	
2022-03	1.85	12589	
2022-06	1.83	12511	
2022-09	1.58	12430	
2022-12	1.76	12367	
2023-03	2.21	12269	
2023-06	2.15	12174	
2023-09	1.91	12073	
2023-12	1.56	12029	
2024-03	1.71	11971	
2024-06	1.83	11899	
2024-09	1.64	11806	
