month	ct_avg_前复权价格	人均持股
1999-06	1.2	1770	
1999-12	1.17	1835	
2000-06	1.61	2688	
2000-12	2.26	2478	
2001-12	1.78	1736	
2002-06	1.54	1918	
2002-09	1.63	1959	
2002-12	1.44	2022	
2003-03	1.66	2193	
2003-06	2.2	3226	
2003-09	2.15	3520	
2003-12	2.11	5864	
2004-03	2.27	3953	
2004-06	1.84	4411	
2004-09	1.77	5048	
2004-12	1.52	4362	
2005-03	1.49	4080	
2005-06	1.59	4467	
2005-09	1.9	4625	
2005-12	1.61	4396	
2006-03	1.96	4631	
2006-06	2.68	4614	
2006-09	2.85	6393	
2006-12	3.45	7210	
2007-03	5.19	6667	
2007-06	8.21	7292	
2007-09	12.99	12915	
2007-12	13.06	10788	
2008-03	14.08	13968	
2008-06	11.86	15993	
2008-09	7.02	17841	
2008-12	7.01	13144	
2009-03	7.53	8795	
2009-06	7.21	7064	
2009-09	7.49	19633	
2009-12	8.95	21508	
2010-03	9.7	23240	
2010-06	7.89	20473	
2010-09	9.76	26806	
2010-12	11.24	20464	
2011-03	14.2	37583	
2011-06	13.66	29746	
2011-09	10.25	20592	
2011-12	6.52	15208	
2012-03	8.1	17328	
2012-06	7.54	24892	
2012-09	5.34	22718	
2012-12	6.66	26565	
2013-03	6.1	24448	
2013-06	5.87	21066	
2013-09	6.03	18185	
2013-12	5.45	19178	
2014-03	5.52	20640	
2014-06	5.4	22685	
2014-09	7.14	28644	
2014-12	10.85	35957	
2015-03	14.06	27148	
2015-06	23.32	19074	
2015-09	15.85	18063	
2015-12	18.49	17318	
2016-03	15.29	16253	
2016-06	15.37	38584	
2016-09	18.4	35549	
2016-12	17.35	31129	
2017-02	17.74	38429	
2017-03	17.53	34834	
2017-06	21.42	50228	
2017-09	21.58	49224	
2017-12	30.1	55763	
2018-03	33.27	45515	
2018-06	28.65	47606	
2018-09	25.02	47826	
2018-12	25.5	49021	
2019-03	27.03	35101	
2019-06	23.75	39104	
2019-09	21.66	39249	
2019-12	25.58	51706	
2020-03	22.08	42859	
2020-06	24.47	47290	
2020-09	38.95	57763	
2020-12	45.69	64633	
2021-02	65.14	49904	
2021-03	54.47	40488	
2021-06	46.75	27183	
2021-09	60.06	30143	
2021-12	54.05	26958	
2022-03	47.63	25853	
2022-06	52.27	28566	
2022-09	43.71	23887	
2022-12	44.18	27086	
2023-03	46.47	28835	
2023-06	45.72	32030	
2023-09	45.62	34562	
2023-12	32.45	30610	
2024-03	32.87	29795	
2024-06	37.11	33180	
2024-09	31.8	34002	
