month	ct_avg_前复权价格	人均持股
2014-03	0.93	8787	
2014-06	0.9	10002	
2014-09	1.08	10889	
2014-12	1.61	12273	
2015-03	1.52	90123	
2015-06	2.41	44701	
2015-09	1.07	52053	
2015-12	1.13	53328	
2016-03	1.03	56291	
2016-06	1.08	69428	
2016-09	1.29	58501	
2016-12	1.17	38067	
2017-03	1.34	204349	
2017-06	1.48	204666	
2017-09	2.02	152367	
2017-12	1.86	142865	
2018-03	1.86	136590	
2018-06	1.96	150994	
2018-09	1.97	161650	
2018-12	1.88	151288	
2019-03	2.15	164769	
2019-06	2.16	189984	
2019-09	2.29	216483	
2019-12	2.18	228061	
2020-03	1.91	225342	
2020-06	1.81	217761	
2020-09	2.23	204311	
2020-12	2.56	142564	
2021-03	2.96	111428	
2021-06	3.17	108060	
2021-09	4.29	111382	
2021-12	3.63	86042	
2022-03	4.25	124187	
2022-06	5.79	124247	
2022-09	7.16	121484	
2022-12	5.75	100951	
2023-03	5.91	130153	
2023-06	5.37	111770	
2023-09	6.3	138742	
2023-12	6.82	163972	
2024-03	8.81	170945	
2024-06	9.21	203177	
2024-09	8.67	161304	
