month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2009-08	2.12	1.16	
2009-09	2.09	1.11	
2009-10	2.18	1.16	
2009-11	2.45	1.4	
2009-12	2.81	1.68	
2010-01	3.03	1.83	
2010-02	2.98	1.73	
2010-03	3.13	1.79	
2010-04	3.59	2.12	
2010-05	3.1	1.63	
2010-06	3.2	1.67	
2010-07	3.04	1.47	
2010-08	3.25	1.6	
2010-09	3.61	1.8	
2010-10	3.43	1.62	
2010-11	3.46	1.58	
2010-12	3.43	1.5	
2011-01	3.02	1.16	
2011-02	3.07	1.16	
2011-03	3	1.07	
2011-04	2.87	0.95	
2011-05	2.89	0.94	
2011-06	2.92	0.92	
2011-07	3.2	1.08	
2011-08	3.35	1.13	
2011-09	3.31	1.07	
2011-10	3.17	0.94	
2011-11	3.1	0.88	
2011-12	2.66	0.59	
2012-01	2.4	0.42	
2012-02	2.62	0.53	
2012-03	2.8	0.61	
2012-04	2.9	0.65	
2012-05	2.84	0.59	
2012-06	2.76	0.52	
2012-07	2.55	0.39	
2012-08	2.62	0.42	
2012-09	2.59	0.39	
2012-10	2.48	0.31	
2012-11	1.95	0.02	
2012-12	1.62	-0.16	
2013-01	1.8	-0.07	
2013-02	1.76	-0.1	
2013-03	1.81	-0.08	
2013-04	1.7	-0.14	
2013-05	1.84	-0.08	
2013-06	1.82	-0.09	
2013-07	1.75	-0.13	
2013-08	2.32	0.14	
2013-09	2.43	0.18	
2013-10	2.52	0.21	
2013-11	2.25	0.07	
2013-12	2.47	0.16	
2014-01	2.84	0.32	
2014-02	3.78	0.73	
2014-03	3.6	0.62	
2014-04	3.18	0.41	
2014-05	2.93	0.29	
2014-06	3.13	0.36	
2014-07	3.27	0.4	
2014-08	3.48	0.48	
2014-09	3.57	0.5	
2014-10	3.79	0.57	
2014-11	4.98	1.03	
2014-12	5.79	1.32	
2015-01	7.36	1.86	
2015-02	8.77	2.31	
2015-03	9.23	2.38	
2015-04	10.1	2.58	
2015-05	12.87	3.39	
2015-06	16.18	4.25	
2015-07	11.77	2.7	
2015-08	9.26	1.84	
2015-09	6.65	1.01	
2015-10	8	1.37	
2015-11	8.46	1.47	
2015-12	8.17	1.34	
2016-01	5.89	0.67	
2016-02	5.24	0.47	
2016-03	5.15	0.43	
2016-04	5.55	0.52	
2016-05	4.84	0.32	
2016-06	5.13	0.39	
2016-07	5.71	0.53	
2016-08	6.65	0.76	
2016-09	6.29	0.65	
2016-10	6.26	0.63	
2016-11	6.47	0.66	
2016-12	6.06	0.54	
2017-01	5.38	0.36	
2017-02	5.16	0.29	
2017-03	5.11	0.26	
2017-04	4.85	0.19	
2017-05	4.31	0.05	
2017-06	4.38	0.06	
2017-07	4.58	0.1	
2017-08	5.28	0.26	
2017-09	6.68	0.58	
2017-10	6.28	0.47	
2017-11	6.19	0.44	
2017-12	5.76	0.33	
2018-01	5.99	0.37	
2018-02	7.4	0.67	
2018-03	10.25	1.27	
2018-04	9.79	1.14	
2018-05	9.92	1.13	
2018-06	8.45	0.79	
2018-07	9	0.89	
2018-08	9.58	0.99	
2018-09	9.68	0.98	
2018-10	8.52	0.72	
2018-11	8.81	0.76	
2018-12	8.19	0.62	
2019-01	8.7	0.71	
2019-02	9.97	0.93	
2019-03	12.24	1.33	
2019-04	11.93	1.23	
2019-05	10.83	1	
2019-06	11.47	1.09	
2019-07	12.57	1.24	
2019-08	14.02	1.46	
2019-09	15.75	1.7	
2019-10	14.42	1.42	
2019-11	13.59	1.24	
2019-12	13.53	1.2	
2020-01	14.86	1.37	
2020-02	19.32	2	
2020-03	20.6	2.12	
2020-04	20.47	2.01	
2020-05	22.18	2.17	
2020-06	23.26	2.24	
2020-07	29	2.89	
2020-08	27.13	2.52	
2020-09	23.89	2.02	
2020-10	26.19	2.22	
2020-11	27.81	2.31	
2020-12	26.66	2.09	
2021-01	27.95	2.14	
2021-02	24.71	1.71	
2021-03	20.86	1.24	
2021-04	21.63	1.28	
2021-05	20.93	1.16	
2021-06	20.58	1.08	
2021-07	20.55	1.04	
2021-08	23.28	1.26	
2021-09	20.18	0.93	
2021-10	20.1	0.89	
2021-11	19.53	0.8	
2021-12	21.36	0.94	
2022-01	22.64	1.02	
2022-02	20.33	0.78	
2022-03	15.79	0.37	
2022-04	12.37	0.06	
2022-05	11.4	-0.03	
2022-06	12.34	0.05	
2022-07	12.73	0.07	
2022-08	12.88	0.07	
2022-09	11.65	-0.04	
2022-10	12.42	0.02	
2022-11	15.08	0.23	
2022-12	14.07	0.14	
2023-01	15.05	0.2	
2023-02	15.07	0.19	
2023-03	15.89	0.25	
2023-04	14.72	0.15	
2023-05	12.47	-0.03	
2023-06	13	0.01	
2023-07	11.9	-0.08	
2023-08	11.33	-0.13	
2023-09	10.56	-0.18	
2023-10	10.07	-0.22	
2023-11	10.65	-0.17	
2023-12	10.76	-0.16	
2024-01	8.7	-0.33	
2024-02	7.12	-0.45	
2024-03	7.84	-0.39	
2024-04	7.07	-0.45	
2024-05	7.13	-0.45	
2024-06	6.57	-0.49	
2024-07	5.76	-0.55	
2024-08	5.4	-0.58	
2024-09	5.52	-0.57	
2024-10	7.11	-0.45	
2024-11	7.77	-0.4	
2024-12	7.58	-0.41	
2025-01	6.25	-0.52	
