month	ct_avg_前复权价格	股东人数
2000-12	1.14	26947	
2001-06	1.21	29711	
2001-12	0.9	28258	
2002-06	0.86	27555	
2002-09	0.83	28317	
2002-12	0.66	28239	
2003-03	0.65	28556	
2003-06	0.55	28873	
2003-09	0.47	28618	
2003-12	0.43	28416	
2004-03	0.49	28320	
2004-06	0.47	28702	
2004-09	0.38	27655	
2004-12	0.37	26438	
2005-03	0.36	25710	
2005-06	0.3	25330	
2005-09	0.32	24024	
2005-12	0.33	24266	
2006-03	0.33	23727	
2006-06	0.41	21950	
2006-09	0.46	21804	
2006-12	0.45	20328	
2007-03	0.86	21273	
2007-06	1.37	26965	
2007-09	1.49	30788	
2007-12	1.48	28856	
2008-03	1.55	27697	
2008-06	0.78	27920	
2008-09	0.51	28420	
2008-12	0.54	29745	
2009-03	0.73	27781	
2009-06	1.09	28649	
2009-09	1.51	23463	
2009-12	2.09	33408	
2010-03	2.14	31209	
2010-06	1.65	27181	
2010-09	2.19	22792	
2010-12	1.86	25877	
2011-03	2.04	21410	
2011-06	2.06	20916	
2011-09	1.85	16883	
2011-12	1.37	19105	
2012-03	1.43	19398	
2012-06	1.43	19544	
2012-09	1.13	19990	
2012-12	0.99	19487	
2013-03	1.24	26483	
2013-06	1.33	26722	
2013-09	1.31	25425	
2013-12	1.24	23775	
2014-03	1.17	23583	
2014-06	1.14	21952	
2014-09	1.61	17203	
2014-12	1.57	16416	
2015-03	2.02	11333	
2015-06	3.18	20733	
2015-09	1.94	18721	
2015-12	2.96	12745	
2016-03	3.31	13176	
2016-06	4.66	27655	
2016-09	6.74	54812	
2016-11	9.96	86452	
2016-12	7.4	69766	
2017-03	6.52	71542	
2017-06	5.17	59110	
2017-09	5.25	59083	
2017-12	4.54	60599	
2018-03	4.51	52229	
2018-06	3.94	52310	
2018-09	3.18	55903	
2018-12	2.74	54154	
2019-03	3.53	47439	
2019-06	3.35	43510	
2019-09	3.19	47384	
2019-12	3.36	44705	
2020-03	3.33	67007	
2020-06	4.17	47880	
2020-09	4.15	93322	
2020-12	3.41	91421	
2021-03	3.1	89531	
2021-06	2.86	82738	
2021-09	3.5	56157	
2021-12	4.74	39508	
2022-03	4.78	34037	
2022-06	5.71	32258	
2022-09	5.78	30144	
2022-12	5.75	31640	
2023-03	5.11	46615	
2023-06	4.26	51281	
2023-09	4.26	44060	
2023-12	3.48	46584	
2024-03	4.05	38597	
2024-06	4.59	33351	
2024-09	4.63	32705	
